"DGRP","emmean","SE","df","CI05","CI95"
"DGRP229",1.57318134209335,0.0554614631916219,14989,1.46447009326516,1.68189259092153
"DGRP390",1.77107070009904,0.0577035797696827,14989,1.65796462864641,1.88417677155167
"DGRP380",1.92908798621574,0.0419210618679689,14989,1.84691757949342,2.01125839293806
"DGRP897",1.94768625946478,0.0431715042029243,14989,1.86306483288113,2.03230768604842
"DGRP761",1.96195445446704,0.040793908341722,14989,1.88199340646712,2.04191550246696
"DGRP348",2.09840742445008,0.0520864299169452,14989,1.99631165348729,2.20050319541287
"DGRP365",2.11987473458372,0.0420134863148073,14989,2.03752316464536,2.20222630452208
"DGRP730",2.16862301218234,0.0830710063148252,14989,2.00579368316343,2.33145234120125
"DGRP21",2.21716223464195,0.0467424452856318,14989,2.12554132693658,2.30878314234731
"DGRP911",2.29376389267616,0.0470292086810994,14989,2.20158089365467,2.38594689169764
"DGRP857",2.29694783542997,0.0561055203245305,14989,2.18697415587591,2.40692151498403
"DGRP757",2.29862520237924,0.0508036570884161,14989,2.19904382299806,2.39820658176043
"DGRP386",2.34366878066215,0.0492035103155583,14989,2.24722388459704,2.44011367672725
"DGRP324",2.37561805629012,0.0470970866728105,14989,2.2833020081058,2.46793410447444
"DGRP392",2.41403120904036,0.0500963329626944,14989,2.31583627142627,2.51222614665444
"DGRP32",2.47860048541787,0.0536558997092667,14989,2.37342836177156,2.58377260906417
"DGRP513",2.49355020473674,0.0489885032522751,14989,2.39752674880342,2.58957366067007
"DGRP358",2.50057072843389,0.0547636559921429,14989,2.39322726703379,2.60791418983399
"DGRP563",2.52120166762972,0.0519265897491613,14989,2.41941920293858,2.62298413232086
"DGRP774",2.5310098557566,0.0526727743701894,14989,2.42776477797629,2.6342549335369
"DGRP850",2.58124078264241,0.0491972128471763,14989,2.48480823038529,2.67767333489954
"DGRP908",2.59394186075164,0.0513956268810945,14989,2.49320014819987,2.69468357330342
"DGRP907",2.60206030353464,0.0507878699805586,14989,2.50250986881506,2.70161073825422
"DGRP228",2.60306745757047,0.0487152892521079,14989,2.50757953448187,2.69855538065907
"DGRP370",2.64767022842584,0.0509550370981381,14989,2.54779212571719,2.7475483311345
"DGRP913",2.65198610226666,0.047500380941553,14989,2.558879548007,2.74509265652631
"DGRP801",2.65681449183,0.0491618985851729,14989,2.56045115984409,2.75317782381591
"DGRP738",2.69253284904936,0.0489999449764986,14989,2.59648696593764,2.78857873216108
"DGRP195",2.72257490949791,0.0535083842934877,14989,2.61769193410244,2.82745788489337
"DGRP502",2.75072323713355,0.0515604426114046,14989,2.64965846559924,2.85178800866785
"DGRP105",2.79166992780071,0.0472277636693727,14989,2.69909773672596,2.88424211887546
"DGRP712",2.79657598748819,0.0534125112095222,14989,2.69188093505918,2.9012710399172
"DGRP91",2.79700103717336,0.0528730745679828,14989,2.69336334651576,2.90063872783096
"DGRP808",2.80389125140478,0.0669736216575648,14989,2.67261476445411,2.93516773835546
"DGRP405",2.80963614097045,0.0465059757724597,14989,2.71847874242275,2.90079353951816
"DGRP892",2.8257230994305,0.0540182191441071,14989,2.71984078539308,2.93160541346793
"DGRP427",2.82625743890581,0.0445344109541403,14989,2.73896454845457,2.91355032935706
"DGRP321",2.82844830301354,0.04660564648144,14989,2.73709553769004,2.91980106833704
"DGRP129",2.83386475865135,0.0568988150910245,14989,2.7223361243631,2.94539339293959
"DGRP57",2.83403513468422,0.0591346876058914,14989,2.71812391689883,2.94994635246962
"DGRP732",2.85092450325011,0.0475607653343623,14989,2.75769958819768,2.94414941830255
"DGRP440",2.89581922308401,0.0459240980360479,14989,2.80580237604272,2.98583607012531
"DGRP280",2.89654656460473,0.048885791686627,14989,2.80072443589806,2.9923686933114
"DGRP802",2.90681116524292,0.051275058361004,14989,2.80630578173179,3.00731654875406
"DGRP88",2.91589129706934,0.0521932517311478,14989,2.81358614229019,3.01819645184848
"DGRP310",2.93542471524819,0.0545356520460087,14989,2.82852816945932,3.04232126103706
"DGRP810",2.94462487226009,0.0427504129579661,14989,2.86082883600111,3.02842090851906
"DGRP338",2.95862117670894,0.0583083091330865,14989,2.84432976176706,3.07291259165083
"DGRP373",2.96449753757965,0.0537521130000368,14989,2.85913682411996,3.06985825103934
"DGRP357",2.97533582988545,0.0535667455661133,14989,2.87033845926012,3.08033320051078
"DGRP595",2.98095907506344,0.0464904961893825,14989,2.88983201839117,3.07208613173571
"DGRP382",3.02370271669047,0.0474858131780748,14989,2.93062471702835,3.11678071635259
"DGRP426",3.05282667816487,0.0604021756491871,14989,2.93443102884571,3.17122232748402
"DGRP306",3.06259153595934,0.043395814272055,14989,2.97753043421503,3.14765263770365
"DGRP555",3.06838207592949,0.0439544021017687,14989,2.98222607374343,3.15453807811554
"DGRP406",3.0707447889673,0.0459311307498897,14989,2.98071415694702,3.16077542098758
"DGRP359",3.09393837539041,0.0488368279612908,14989,2.99821222157193,3.18966452920889
"DGRP703",3.11277527229604,0.0450469390598721,14989,3.02447776409352,3.20107278049856
"DGRP391",3.11788405557825,0.0459784484988105,14989,3.02776067498481,3.2080074361717
"DGRP879",3.12540382794429,0.0496110767604598,14989,3.02816005181623,3.22264760407234
"DGRP109",3.13561184772129,0.0453092325070134,14989,3.04680021229318,3.22442348314941
"DGRP31",3.13963143968043,0.0461887374395631,14989,3.04909586705222,3.23016701230864
"DGRP100",3.14723444808347,0.0456971581973818,14989,3.05766243087266,3.23680646529428
"DGRP101",3.16438430163007,0.0437971158260641,14989,3.07853659977493,3.25023200348521
"DGRP335",3.19312478429007,0.0486585626000202,14989,3.09774805237522,3.28850151620492
"DGRP374",3.23114767711415,0.059130137352549,14989,3.11524537838164,3.34704997584666
"DGRP42",3.25006664204313,0.0558982922645869,14989,3.14049915482321,3.35963412926305
"DGRP59",3.25431263582152,0.0530801055793583,14989,3.15026913906906,3.35835613257397
"DGRP535",3.25883198704773,0.0498318382301726,14989,3.16115549144773,3.35650848264774
"DGRP319",3.29971664795463,0.0533519634509267,14989,3.19514027653531,3.40429301937395
"DGRP73",3.31614218960957,0.0537267150117135,14989,3.21083125931227,3.42145311990688
"DGRP303",3.32184899409772,0.0491577563726443,14989,3.22549378135481,3.41820420684063
"DGRP318",3.32193511093375,0.0481841873248323,14989,3.22748821255756,3.41638200930993
"DGRP371",3.35304660751024,0.0491776356073698,14989,3.25665242903674,3.44944078598374
"DGRP208",3.3771807129275,0.0497673225688999,14989,3.27963067591157,3.47473074994343
"DGRP799",3.37804974834435,0.0503698821430286,14989,3.27931862089144,3.47678087579727
"DGRP437",3.41391776465285,0.0522235364212452,14989,3.31155324817836,3.51628228112733
"DGRP721",3.43562644521159,0.0512137550455986,14989,3.33524122369387,3.5360116667293
"DGRP309",3.52430811702412,0.0537358272902852,14989,3.4189793255467,3.62963690850153
"DGRP354",3.58215516946843,0.0514760006114908,14989,3.48125591457821,3.68305442435864
"DGRP783",3.58244574293477,0.0502744052721479,14989,3.48390176182222,3.68098972404731
"DGRP385",3.59128145469131,0.0522830115537828,14989,3.48880035968535,3.69376254969727
"DGRP383",3.62740509112879,0.0497000914355365,14989,3.52998683535425,3.72482334690334
"DGRP361",3.68497282152177,0.0519980231075566,14989,3.58305033871441,3.78689530432914
"DGRP776",3.71169503601684,0.0560739833526409,14989,3.60178317278354,3.82160689925014
"DGRP235",3.7511866480423,0.0542523188754983,14989,3.64484546990924,3.85752782617536
"DGRP716",3.76903859534625,0.0563017377866337,14989,3.65868030557602,3.87939688511648
"DGRP75",3.77952329633002,0.0466496787359356,14989,3.68808422240412,3.87096237025592
"DGRP443",3.80509692929768,0.0509459015202508,14989,3.70523673343865,3.90495712515672
"DGRP843",3.87372707806054,0.0489335973537842,14989,3.7778112444013,3.96964291171978
"DGRP304",3.87697906137355,0.0482434806756512,14989,3.78241594078028,3.97154218196681
"DGRP93",3.90102322196964,0.0532403226742008,14989,3.79666568012242,4.00538076381686
"DGRP855",3.90761119138037,0.0496054399955401,14989,3.81037846400073,4.00484391876001
"DGRP320",3.9750084970498,0.0574486271798312,14989,3.86240216384495,4.08761483025465
"DGRP517",3.98905414475433,0.0453156303114446,14989,3.90022996884731,4.07787832066136
"DGRP821",3.99637423161449,0.0549702221550265,14989,3.88862587527942,4.10412258794957
"DGRP189",4.00092710896621,0.0540278786850689,14989,3.89502586104748,4.10682835688494
"DGRP705",4.0049565260835,0.0490156023505334,14989,3.90887995260433,4.10103309956267
"DGRP136",4.08429063442381,0.0503362742192607,14989,3.98562538261054,4.18295588623708
"DGRP217",4.13929242155775,0.0515124466506367,14989,4.03832172797475,4.24026311514075
"DGRP287",4.24357484679631,0.0521511925340402,14989,4.14135213318584,4.34579756040677
"DGRP820",4.27663646087479,0.0502921727922686,14989,4.17805765325047,4.37521526849911
"DGRP379",4.56294499803469,0.0525386824366486,14989,4.45996275683882,4.66592723923056
"DGRP441",4.58684351090393,0.0511091395808377,14989,4.48666334848791,4.68702367331995
"DGRP362",4.61070339733553,0.0515958894068879,14989,4.50956914574818,4.71183764892287
"DGRP859",5.03020861251353,0.0498615237328158,14989,4.93247392969887,5.1279432953282
"DGRP890",5.25791982585392,0.0592572625346752,14989,5.14176834622153,5.3740713054863
"DGRP509",5.93479666836584,0.0723136336083601,14989,5.79305310509728,6.0765402316344
