DGRP	sex	value
DGRP_021	F	46.8287221
DGRP_026	F	22.6713448
DGRP_028	F	45.550462
DGRP_038	F	34.4494314
DGRP_041	F	39.1495676
DGRP_042	F	32.8950357
DGRP_045	F	40.7486732
DGRP_049	F	29.5164826
DGRP_057	F	47.4374232
DGRP_059	F	45.4925081
DGRP_069	F	43.4301676
DGRP_073	F	33.9597015
DGRP_075	F	47.4613408
DGRP_080	F	33.0185437
DGRP_083	F	29.163903
DGRP_085	F	35.5376448
DGRP_088	F	29.5263026
DGRP_091	F	45.2714747
DGRP_093	F	35.2193144
DGRP_101	F	38.7713262
DGRP_105	F	52.563725
DGRP_109	F	49.7373467
DGRP_129	F	41.6790749
DGRP_136	F	48.3322549
DGRP_138	F	27.1820564
DGRP_142	F	41.302642
DGRP_149	F	40.0697736
DGRP_153	F	30.2079879
DGRP_158	F	45.9628315
DGRP_161	F	39.6935314
DGRP_176	F	34.7813105
DGRP_177	F	30.0522499
DGRP_181	F	30.3451106
DGRP_189	F	23.6626662
DGRP_195	F	47.1219967
DGRP_208	F	54.6805656
DGRP_217	F	45.1497162
DGRP_223	F	38.9109684
DGRP_227	F	31.9347149
DGRP_228	F	34.2503125
DGRP_229	F	14.912918
DGRP_233	F	32.6729322
DGRP_235	F	26.6306075
DGRP_237	F	54.1155881
DGRP_239	F	43.6690906
DGRP_256	F	32.6771385
DGRP_272	F	32.4391854
DGRP_280	F	43.2161844
DGRP_287	F	41.0425627
DGRP_301	F	30.9401786
DGRP_303	F	49.1841276
DGRP_304	F	55.331727
DGRP_306	F	39.3735617
DGRP_307	F	22.665583
DGRP_309	F	43.2381801
DGRP_310	F	26.5141006
DGRP_313	F	49.31529
DGRP_315	F	43.4450964
DGRP_317	F	33.3404171
DGRP_318	F	39.5064368
DGRP_319	F	40.2746048
DGRP_324	F	40.9728159
DGRP_325	F	26.9434571
DGRP_332	F	39.4052817
DGRP_335	F	35.3607445
DGRP_336	F	27.9029052
DGRP_338	F	35.441932
DGRP_340	F	31.6709287
