DGRP	sex	value
DGRP_021	F	27.020683
DGRP_026	F	18.6632645
DGRP_028	F	17.1360006
DGRP_038	F	22.8040015
DGRP_041	F	17.9061929
DGRP_042	F	17.5791628
DGRP_045	F	33.585476
DGRP_049	F	29.4779062
DGRP_057	F	29.7520555
DGRP_059	F	31.3535328
DGRP_069	F	20.6163472
DGRP_073	F	36.2585413
DGRP_075	F	41.3398525
DGRP_080	F	21.8631546
DGRP_083	F	6.3225458
DGRP_085	F	27.685138
DGRP_088	F	23.8758696
DGRP_091	F	35.2376555
DGRP_093	F	20.2425769
DGRP_101	F	39.2514784
DGRP_105	F	16.7726671
DGRP_109	F	44.4570203
DGRP_129	F	16.6879759
DGRP_136	F	28.6598262
DGRP_138	F	12.6055169
DGRP_142	F	13.9331539
DGRP_149	F	33.8817214
DGRP_153	F	25.9795962
DGRP_158	F	15.6622594
DGRP_161	F	16.083786
DGRP_176	F	22.8618862
DGRP_177	F	19.385307
DGRP_181	F	21.4667434
DGRP_189	F	11.0122332
DGRP_195	F	30.7689842
DGRP_208	F	41.1922009
DGRP_217	F	24.2105518
DGRP_223	F	42.595919
DGRP_227	F	16.2424142
DGRP_228	F	16.1667872
DGRP_229	F	12.437931
DGRP_233	F	19.7795639
DGRP_235	F	8.7227232
DGRP_237	F	42.1571893
DGRP_239	F	19.2593863
DGRP_256	F	9.8615834
DGRP_272	F	27.6275608
DGRP_280	F	32.0679702
DGRP_287	F	18.5654352
DGRP_301	F	32.3144388
DGRP_303	F	37.7390366
DGRP_304	F	28.0193859
DGRP_306	F	7.9708433
DGRP_307	F	10.0887894
DGRP_309	F	40.5444634
DGRP_310	F	25.8832689
DGRP_313	F	13.6563443
DGRP_315	F	10.194736
DGRP_317	F	12.0298512
DGRP_318	F	40.8865895
DGRP_319	F	17.1868281
DGRP_324	F	34.5908489
DGRP_325	F	31.5225157
DGRP_332	F	13.2556034
DGRP_335	F	38.6563443
DGRP_336	F	22.1638028
DGRP_338	F	31.5977456
DGRP_340	F	33.8763438
DGRP_350	F	20.138316
DGRP_352	F	29.3123225
DGRP_356	F	26.1490667
DGRP_357	F	11.8790892
DGRP_358	F	24.1922009
DGRP_359	F	32.5784132
DGRP_360	F	30.6247127
DGRP_361	F	27.0092545
DGRP_362	F	24.9395145
DGRP_365	F	36.6458765
DGRP_367	F	38.7394707
DGRP_370	F	29.2077148
DGRP_371	F	12.4169303
DGRP_373	F	21.935497
DGRP_374	F	27.3357574
DGRP_375	F	40.4053479
DGRP_377	F	16.349456
DGRP_378	F	33.9061751
DGRP_379	F	19.6134248
DGRP_380	F	40.6721601
DGRP_381	F	21.8671689
DGRP_382	F	10.6886386
DGRP_383	F	15.1891481
DGRP_385	F	5.1549581
DGRP_386	F	44.0450812
DGRP_387	F	29.2453577
DGRP_391	F	27.7014899
DGRP_392	F	29.9002881
DGRP_393	F	33.1226927
DGRP_398	F	34.0822281
DGRP_399	F	7.39575
DGRP_409	F	29.3255117
DGRP_426	F	27.60656
DGRP_427	F	48.6044542
DGRP_437	F	31.184293
DGRP_440	F	39.3313987
DGRP_441	F	35.598239
DGRP_443	F	32.3636641
DGRP_461	F	12.4632941
DGRP_476	F	13.5136428
DGRP_486	F	16.4419068
DGRP_491	F	14.972121
