sample_id	M803T514	M827T500	M831T651	M805T608	M829T547	M748T457	M857T697	M855T632	M858T825	M833T781	M777T491	M851T478	M832T829	M825T442	M540T152	M829T527	M774T480	M798T540	M746T390	M860T875	M776T574	M856T765	M831T624	M568T240	M846T851	M858T839	M830T780	M813T578	M720T377	M853T549	M564T122	M827T450	M879T599	M783T471	M695T915	M779T595	M801T451	M566T170	M734T415	M811T553	M853T508	M804T753	M801T431	M804T736	M693T864	M839T586	M851T438	M818T812	M830T737	M801T465	M844T818	M855T560	M540T137	M827T478	M829T586	M787T574	M775T421	M801T432	M855T588	M775T422	M859T802	M844T806	M751T477	M841T743	M791T713	M802T604	M699T483	M881T643	M789T598	M588T119	M851T450	M861T450	M872T837	M778T625	M568T230	M881T696	M839T707	M789T465	M817T559	M825T420	M791T544	M883T750	M789T686	M819T690	M799T410	M837T565	M853T531	M857T749	M590T143	M877T488	M750T495	M765T698	M856T804	M803T498	M807T760	M564T113	M834T845	M573T167	M749T403	M841T562	M857T868	M815T735	M538T108	M763T671	M1069T431	M819T327	M923T873	M806T804	M841T541	M612T114	M874T892	M745T481	M813T603	M815T603	M748T444	M895T829	M764T425	M813T451	M815T636	M817T770	M722T395	M837T547	M819T663	M841T686	M718T329	M762T510	M863T556	M825T399	M815T491	M843T341	M586T96	M849T404	M566T154	M1017T816	M512T98	M849T391	M828T603	M842T680	M875T423	M777T506	M835T524	M876T805	M554T199	M841T644	M823T394	M816T689	M526T188	M524T181	M869T832	M588T112	M837T433	M921T836	M692T320	M783T830	M562T98	M722T405	M870T814	M767T451	M809T828	M526T120	M614T130	M706T346	M1069T430	M590T132
CZC2546	18.1051062959545	17.1255449836553	17.8233286961335	17.7478100736824	16.9274029776682	17.4497629397178	16.3013506652785	17.0948424622582	16.9017307369156	16.2951446698211	15.1685396401165	11.6672608988723	16.4935783300011	14.9847899154241	16.4546719243104	16.5332806310228	15.121234303696	16.2083497886782	15.7321595184424	16.1187574029522	15.9429075606648	16.113180582575	15.8379573406473	15.8346753835671	15.5909217861181	15.8105929562805	15.7133719320532	15.2345111058291	15.3003376422771	14.8712237937413	15.7580991160677	15.6087230345657	14.8618393871054	14.8836916992351	15.1455016120949	15.3010113592801	14.5050009711928	15.4733777900427	14.6301178901843	15.1674839734406	15.2721191756905	15.2843684024698	14.4334330991296	14.8894578176782	14.2355139433143	14.9676588656818	14.7175432517868	14.7226113788648	15.0866369446415	13.6960831109919	14.9274933369182	14.5088185180985	14.789002925611	13.5465919356655	14.2871112855442	14.9931358098395	14.5044703682133	14.4199794683124	14.6201802132574	14.5053934791218	14.116493704373	14.4719231385889	13.9124857254525	14.4102798861201	14.5033640139564	14.4044673074947	12.65431966818	14.081963483224	13.9835375010164	14.4863666786463	12.8291697632054	12.2980109131866	12.8592338184937	12.3042625227502	14.0970190958056	13.0717448519406	13.5244560280987	13.6021090059027	13.5231825395331	13.2111324725186	13.3581351052375	13.7210448827455	14.2573312446705	13.6900134928911	13.4607907005977	13.7525794086322	13.3393051208828	13.437648506164	13.7300803241995	13.2508680672256	14.0131713720018	13.5888017036288	13.0837659417173	13.1107325742802	13.7600524805797	13.863303214312	12.2052827226232	14.2126670388262	12.1601156932977	13.4296436244886	13.8876950688805	13.0571744658221	13.2085707532049	13.6535502323007	12.1238658853164	13.6027412027339	13.6247462277684	12.0495920532303	12.4828622230666	12.8426637943405	12.1635792190079	13.1660847349465	12.961359964108	12.9508555478177	12.9413362237091	13.0935423519026	12.3284038032261	12.4881068852079	12.9959881772457	12.8052755580534	12.2316890654255	12.4833381408279	12.1504471723713	13.0679029183151	12.8767167542986	12.8860997105534	12.2772476818294	12.5239528838695	12.1501891364184	12.6501561129771	11.9570026965914	11.8869519438487	12.9874645764745	12.1497650674503	13.0941353155569	11.4240140535123	12.7791251144435	12.2425671960767	12.5652869654728	11.9970661756125	12.3082156984515	12.5573012121453	12.483433450354	12.1860681435687	11.9351440669459	12.2910406365196	12.4784184623741	12.7475033136472	12.7683401251929	12.5733802814706	11.4347596958367	12.6780658520663	12.5030337178498	12.2957756087827	11.9368536702713	11.9950559180316	11.506757294459	12.2676542403607	12.0133816516723	12.2007515581214	12.0372837212207	11.4387860255214	12.1233262902096	11.623132607435
CZC2547	18.2565053059075	17.2280521790655	17.9492387476325	18.0669692305698	17.1645369187461	17.6393492940334	16.6149237979372	17.205289093716	17.283740933229	16.7586541716649	16.0054265949761	16.8010689749051	16.6579312597913	15.9020854590066	16.5800083403989	16.4148458801135	15.1767124169986	16.0197516560674	16.0295070795057	16.4365061760526	16.1311306983854	16.3387077592727	15.8072979744543	15.8563491772288	15.867538301992	15.9499449288808	15.6736699266087	15.6246181163048	15.4329512360761	15.3814654990341	15.7200046046534	15.614621635775	15.6860286912962	14.7413257514083	15.1282510998593	15.6882455799383	14.3570910018553	15.6051925203353	14.8273901151811	15.3532126446639	15.5097772381618	15.1645054306961	14.4167938604443	15.2534497222728	14.8158100653954	15.2134233203103	14.6374641344123	14.7900181415132	15.2099904802807	14.9987523009285	14.9195970325652	14.3981129549643	14.952917793519	14.2716142244004	14.9310600394831	15.0712641734421	14.7042595313238	14.4165909117097	14.6037783608182	14.7100638801613	14.7374061166106	14.8102947758106	14.494512385075	14.5690985674518	14.6292838598906	14.2714442241251	13.0312709342903	14.7789680230519	14.559654327224	14.6807265042077	13.2389377769988	12.7661757481371	13.6281085824301	13.1488502901043	14.1404448571302	13.6768341244012	14.0026691325033	13.9717151867078	13.8962217298581	13.653384578428	14.1309358009294	13.9577485974965	14.3792761668981	14.1967029002174	13.8308762802684	14.2285904373049	13.6861428311832	13.795482595174	14.0710921830192	13.5082364254535	13.9784347080991	13.7595739499567	13.7647132245677	13.2005513246573	14.2024749354209	13.7573062386264	13.3749784987283	14.1066567217675	13.1984655214606	13.5936987458666	13.9235261681371	13.4041518568551	13.5734320099885	13.9356490404875	12.3825274276571	13.8652009672676	13.8066455996771	13.1773453282661	12.8508351179248	13.5877245798682	12.5870438089205	13.3718377483732	13.2133227264198	13.2238044750284	13.054716937714	13.148312690942	12.66755951744	12.8634448937494	13.3265754827201	13.1208025164945	12.4786512250443	13.2864017609469	12.9133268797981	13.1700453937094	13.0430378657176	13.1087999299155	13.115582866005	12.4948649198547	12.1921933658911	13.2319472605771	12.6159132707531	12.5177983534469	12.9297057113215	12.230851788523	13.0906915647017	11.9282482098666	12.6204925187834	12.4198154919552	12.8413432689764	12.9785396352278	13.1728191808642	13.0544488666345	12.5200606948634	12.7254938673686	12.4862491788848	12.4221534273024	12.7362939387963	12.7067551412588	12.8481675237143	12.8409913456389	12.2856575034834	12.6501260639825	12.0040726015423	12.4367247001489	12.4482170832243	12.3863014248255	12.418791541245	12.3478309121842	12.5458523208267	12.4130398812928	12.5406146522414	11.6251984396394	12.3831610243532	11.9970832104324
CZC2549	18.2501642268367	17.1313410758652	17.8944715671031	17.7351396303872	17.0374607975725	17.6784181122029	16.3314873374277	17.1573501979783	17.1459974735609	16.3380129057705	14.8952916072661	16.4268948657644	16.7266901115528	14.9619576202759	16.6271421037378	16.6462908557389	15.3834646617191	16.1151568417858	16.1702908941178	16.3590084074882	16.1325279859743	16.4377743623911	15.807448540007	15.9470408650607	15.883903405243	16.0986682931837	16.0291970361825	15.5827821125291	15.5873639911697	14.8242633306337	16.0226760908622	15.9624228118843	15.1954457377827	14.8380445760996	15.0612484911514	15.3572494944674	14.0655947920888	15.6423266681954	15.1076383204416	15.4388400220512	15.3153830779576	15.4561256792064	14.9374688847054	15.0690937965176	14.7643621131527	15.3008216873579	14.9266829041681	15.0060900676987	15.3904740419705	13.8578101927163	15.1443320519854	14.4642970213541	14.9967930860882	12.9816234539816	13.9009127453191	15.0827549084038	14.6106575680973	14.9371982116949	14.4453984628032	14.6111005266017	14.3194107328732	14.8825918261296	13.4971499787945	14.613477859245	14.6688739108607	14.4730206914023	13.3029630325762	14.3156170034637	14.6757232141994	14.7137244429103	12.7953429043624	12.9276353194205	13.6624637541417	12.9248471943432	14.2372873279483	13.5716534188553	14.022774753813	14.1002309883305	14.0913529097195	13.5476469483696	13.5891140541574	13.7691724939085	14.2413962892979	13.9679076199593	13.5328524302084	14.0127728014298	13.7367396643007	12.8093532221804	13.9148516119596	13.4569810742864	14.1123137252213	13.7564874572405	13.5635742616492	12.8799032691376	14.079732111218	14.1785555980905	12.7986801426363	14.1455056941	11.7199941914029	13.7081575667558	13.954981566718	13.5692181432655	13.3013083601496	13.9753592475425	12.3559686556445	7.58979512081337	13.6671349653398	12.9510185053742	12.9918683762169	13.3244483022271	12.9781634402123	13.6231342871254	13.405696939324	13.3914202446684	13.4976548617122	13.218294291059	12.861892628584	12.8083235482723	13.1131177734248	13.2242626369203	11.2848833761378	13.0218481063455	12.5682046067291	13.4994928513398	13.2243133512707	13.214082917297	12.782233470656	13.1430476083267	12.2371472837485	7.96918471736321	11.8029680664299	12.3185153000349	13.0877345770716	12.5281738568613	12.8918707383262	11.4139719863454	13.0356782899401	12.7895244183493	12.8179844593356	11.7636019659299	12.65091467286	12.8048366316271	12.8134604803458	12.4294381198177	11.9935481512981	12.4193007537106	12.6508752465111	12.7768757288071	12.7420011176308	12.7982884835363	12.0255836513671	12.7365427243779	12.455635356728	12.601253435531	12.2776422628211	12.3597271169807	12.1096247442662	12.5314279719376	12.4141005898953	12.4018009201456	12.1780041424659	11.9024279523108	12.3559686556445	11.8031011208571
CZC2550	18.3342184038871	17.2629445675654	18.0865203841633	18.0511877363784	17.3246973304619	17.57888695709	16.9842053635323	17.2438541413297	16.953147952167	16.9082645240306	15.6976094276633	16.3580891436987	16.7794823462955	15.6212020225036	16.3972494127793	16.6360148852724	15.350766072152	16.0376361124145	16.0832380650827	16.6435240272507	16.0994551328896	16.2428371164895	15.9293491142744	15.7592768130919	16.0183009952359	16.1652399662231	16.0608249699578	15.1115884950504	15.5426411416165	15.4774312222808	15.643306844914	15.6680216520808	15.2314287029522	14.8253755878714	15.5275179867987	15.475078859874	14.3664654858359	15.3414198495666	14.9419886229865	14.8474027589859	15.670816717253	15.4402004369696	15.1199444878934	15.1228872179367	14.3302002804754	14.9483662170592	14.9049751181211	15.0451841707729	15.0604457670485	14.612384518262	15.3745230714911	14.9450120457041	14.7266356050328	14.6911198091956	14.8204296274091	14.9063547402012	14.8158425190362	14.68660216841	15.5065860083614	14.806136053473	15.3219177697238	14.6849518965742	14.0980918751541	14.2935846333748	14.6328838869006	14.4329936094939	12.4786186223055	15.0154399616524	13.9654239964934	14.407299091365	13.280713407946	12.7061489043302	13.1083273198113	12.6012603886487	14.0107461542705	14.2129278954632	13.5140565599957	14.0254010526098	14.2151184916002	13.8780207891368	13.9861092412625	14.7542503827415	14.1489192280827	14.2801161225896	13.6292452520446	13.700369312418	13.6045552648905	13.9107976620478	13.9660875772952	13.3421157740477	13.9816953081734	13.733445015673	13.7538563314868	13.5525785270879	14.0596779646896	13.713983012194	12.5443549194736	14.1589606213993	12.6974729941897	13.6929521297869	13.8984233964076	13.1315603683306	13.3629307826224	13.6481416196945	12.3542287973077	13.7552372454253	13.4789474120109	12.8277478829034	13.0397715934279	12.804870713188	12.5938859010072	12.9899228257107	12.9182913815615	12.9126673475088	13.2376306675806	12.6682284021858	12.5469811950048	12.699360380337	13.0870700302512	12.9331537370172	11.9135101371014	12.2200952521145	13.0230265857485	13.1450559293525	13.380805500784	13.1366383423446	12.1657274362881	12.7779486977617	12.5183073099162	12.9280255132583	12.0840144055722	12.4165037194222	12.8342565494234	12.1251230014224	12.8360132207588	12.0642500591858	12.7869331571355	12.6416876620484	12.8356801089151	12.8340521321315	12.0587347076859	12.895734409075	12.425257420419	12.5003706780488	12.0856860922862	12.7098044232619	12.0585589540056	12.1342977171736	12.5181815917303	12.6033239263298	11.6465037189967	12.7356952142987	12.5021584162867	12.4188016908506	11.8365349173962	12.2754416953865	12.0735539000055	12.519931428023	11.9355025511425	12.1980868275973	12.6001109274222	12.040747983054	12.3861882835734	12.0080988594143
CZC2552	18.1865504896156	17.1750186503648	17.9092745343457	17.8379307505186	17.1382246750559	17.3224245463763	16.6842117046014	17.1841529416299	16.7049676193197	16.6909366160067	15.4827921173569	16.4513883589456	16.5519408410001	15.7008750082137	16.441920954045	16.3891778642073	15.1330258220673	16.0990029115821	16.0256774929447	16.0408545128547	15.9153436485899	16.0708583880583	15.3829191767607	15.8082123965205	15.7516649534579	15.7405882524733	15.7760131644745	15.1259674089107	15.6290842970983	15.2922663348815	15.7450982939749	15.7818362614236	15.4012431075715	14.8212140993794	15.011853628354	15.3381771587726	14.9194622728251	15.3569845130405	15.0132566033018	14.9794666515669	15.3654525120641	15.5213503658824	14.4907000607715	14.8533402494843	14.6860072099627	14.9285402256172	14.9832977929205	15.0550438871386	15.2731871979623	14.4874821101132	14.9564161630276	14.5938028559677	14.7931465795349	14.3660006842791	14.6857558811789	14.5637133309842	14.8745085537968	14.5077558324292	14.807860724279	14.8743813775092	14.8153887326162	14.7211566521701	14.3027903315165	14.2838892095236	14.3650415777074	14.2554986609234	12.7960689593036	14.5065729859369	13.9808185412331	14.6400340543881	13.2858133448018	12.2983768911285	13.151154370004	13.0833735632078	14.1518113713219	13.6006037549361	13.499973687182	14.134985138021	14.0977066272812	13.7209371857506	13.9866410578227	13.8572727916012	13.8552951169343	14.1256403204181	13.9761906944179	13.8199924671872	13.7736729555973	13.7054238161629	14.0707838655313	13.2816634619747	13.9028456538846	13.4651534972473	13.4563436366274	13.0788943711793	14.0493753239145	13.8578778097992	13.3051442728528	14.1580691649987	12.774828466951	13.8238761535896	13.5853798722544	12.8727190237721	13.3784801929861	13.7635871624731	11.9802181009171	13.2611908688814	13.3274011947658	13.2715889741534	12.9962740802486	13.3142744260295	12.7856134709164	13.128145034368	12.8698634077326	12.8519576405915	13.3592848381469	12.7736693411289	12.1377852538838	13.002880387394	12.9638599952645	12.882270781601	12.4104667884864	12.6951957193073	12.8800310991635	13.2318571993704	13.3594281439369	13.1189072560916	12.5774385089744	13.006855116884	12.5887598084103	12.552382817721	12.624177810797	12.4477601778678	12.9649368335554	11.5188409469556	13.1332201935132	12.1426441400972	12.8659316460912	12.7452465745215	12.8004163029609	12.7848759458471	12.5276079433774	12.3211408620643	12.5840464506232	12.0862634508492	12.5375136484805	12.3550407797086	12.2041956480721	12.2801132884888	12.5328920910039	12.816551029616	12.2601175777626	12.701678718771	12.4805115712098	12.3274934196965	12.4126782790361	12.4766724694902	11.7928269343811	12.3869317409486	11.9142143019186	12.4775206937632	12.1571906269423	11.9958690223112	11.9796145070361	11.9220340369289
CZC2553	18.2213689627368	17.3721420760422	17.8638767017025	17.9889014938378	16.9209327205002	17.6490290444831	16.2155471474159	17.0958065296409	17.3144399278173	16.7119402406363	15.2856723420465	17.1225153279102	16.5044067424969	16.2130680400814	16.7007636064806	16.5259736497031	15.2973666124836	16.1271620110264	16.1674365129897	16.2149846192745	16.2226214002957	16.5469552462044	15.8955341939443	15.9319388253141	15.8878339034152	15.9168607343422	15.8175892495986	15.4658849292793	15.7406049396617	15.5984216809494	15.8726905263567	15.4836325136626	15.8499518687773	14.8253903777771	15.3193110739682	15.6003209377685	14.0931849118362	15.7731929638616	15.1764870967409	15.4880859293816	15.5494006865273	15.3935217209753	14.6946983929763	14.8325454804449	15.3771608687252	15.3092581919722	14.6917201778802	14.9910937216708	15.5555822335967	13.8854178781489	15.1296556688815	14.1732694581102	15.0740233308926	14.350761205156	14.2833136484245	15.1804663048788	14.3659488007707	14.694457310007	14.7739170233733	14.3645486069244	14.7962768057412	15.2404190603291	14.0320745948668	14.6503875221248	14.8034285464172	14.4324387492795	13.0246715676896	14.476658011027	13.989372494527	14.8390487997223	13.6802966208267	12.9975955788114	14.4593883283848	12.9964904509202	14.2375581036611	13.5131751743585	14.2667140939836	14.0079779957971	14.2824922024854	13.8151208802498	14.0276286055781	13.7143412047686	14.4728927757415	14.3851014577754	13.5748766454001	14.1052972943064	14.0200493091169	13.3260199067881	13.7044147834394	13.9582222689693	14.056755735398	13.9483566697125	13.9410315268909	13.1305077559326	14.1736519673168	13.8957446903918	12.6355128623803	14.1414476420932	12.1987161129769	13.9050226257022	13.9034773491504	13.3915275052327	13.5368466652161	14.0382313319207	12.6008511699676	9.0689413752184	13.9340258632236	13.0161935950452	13.5401734086898	13.8702153798188	12.9785394163003	13.4485914722356	12.9002204338152	12.8840429012521	13.4745161068472	13.4032302045406	12.8274326590145	13.060460131171	12.9872074565767	13.0777205406709	11.8503888538092	13.3507138227273	13.3400703992963	13.3224372743267	13.3685024012201	13.3440950306995	13.2352605015665	12.595615386526	12.1835163017045	7.94428991121095	13.0187613207508	13.1495990841245	13.2012155837893	12.5864149666362	12.9892313525647	12.3270179253513	13.1213715176741	13.0059291031602	13.288047988012	12.4658082496338	13.3787932987448	13.1627059039742	12.9147757060592	12.0512391006036	12.6704987366886	12.9472160222932	12.5261607893592	12.8897848301691	12.9408303748198	12.9696448185355	12.8190044934969	13.0331239435566	12.444237676964	12.8264227267133	12.0023433838639	12.5950613321612	12.7339201836972	12.2269244208075	12.7776451312645	12.4966485460696	12.444657146624	12.1880517812611	12.6187959619992	11.6217412171174
CZC2554	18.2620696836013	17.3281692559967	17.8682009348733	18.1442060611651	17.4674320137937	17.5221904476	16.8289229387439	17.0299333021698	17.0594458311548	16.9100767334425	15.9350444312651	16.6598902608298	16.6527988258765	16.5135668431702	16.5805993250953	16.2160706850641	15.0447267113925	15.9915445864867	15.9777920407176	16.3811618582371	15.9997284227822	16.1592682656042	15.8780773081057	15.7216141805169	15.8795497007303	15.7589900274529	15.7064671678157	15.3921188584038	15.6139326940845	15.7039390999499	15.5699834297774	15.4324482916991	15.3096068714834	14.7563080435971	15.5809840938028	15.5599309045777	14.6300654026044	15.5006350009872	14.809468939046	14.9970249889924	15.6465952816758	15.4531449141771	14.463990946609	14.913690287092	15.4154820274806	15.1319799302336	14.7543614817521	14.9749025303085	15.3478686136439	14.9004897701184	14.9599243004818	15.2384405338923	14.9431870268923	15.1409087222227	15.0963144333139	14.6395322448125	14.7456209284245	14.463990946609	15.1878927594639	14.7466608934385	15.0897172084495	14.7479526810461	14.2724670231776	14.3210679847172	14.582822872437	14.0786049481328	12.7147375718698	14.6068631449305	13.9677731785289	14.4378019797254	14.005681055243	12.6059501758265	13.1233182233938	12.9401876242205	13.994977115624	13.56264683207	13.5881920646956	13.8306520094275	13.7570233345773	13.8662126903	14.0388111073536	14.1120954323568	13.9738721033542	14.1475725250566	13.9429503183395	13.7750113758137	13.3743748326166	13.979206422652	14.1323926896763	13.3622173496372	13.6931546641234	13.8632963903423	13.4467025911151	13.3680072548137	14.0015107685402	13.6240892401652	12.9746132321838	14.0982843959664	12.9094565557787	13.3918667693952	13.5341692150647	12.6509989324287	13.6551368868123	13.9656667163029	12.0513919764501	13.6632931497127	13.2169419092559	13.121119931646	12.6567379686285	13.174885473246	12.1671085386507	13.1354973809298	12.8276874496633	12.8310239337166	12.7669504590619	12.5993790296925	12.5345817230497	12.7752877694882	13.2294195889569	12.8158798589471	12.3235770268105	12.907754294935	12.8163874035489	13.1768870031589	13.0381876436664	12.9254162583523	12.7444702092275	12.5412203707304	12.4298979180197	13.428196413318	13.0262422085573	12.750078420415	12.9610324156404	12.3112419711123	13.1508057601767	13.014182505389	12.6553019525871	12.4779947270414	13.1636127696652	13.4620052780431	12.5872616019161	12.6172190812898	12.3120024353207	12.7231680940022	12.7646796814177	12.5529540377143	12.4966823015492	12.3902417645295	12.3636909195831	12.7364849020907	12.155966411045	12.3359277854483	12.4291357268068	12.6120852287465	12.1506743582289	12.2332507871203	11.8509485334299	12.1788529824732	12.1465343416442	12.2279121773193	12.2153424314989	11.6723996230524	12.0513919764501	11.9230032542883
CZC2555	18.1304466879588	17.2297474491655	17.7787088156433	17.8669438174977	16.8829341430056	17.6165821676281	16.3569336740139	17.1511685508546	17.2015563285066	16.6450944281474	15.3175861319852	16.8299919089276	16.7679392160515	16.9222055035041	16.4367884247766	16.1191744588358	15.0880642800159	16.0749649702426	15.9818332469146	16.4251406010894	16.148294939307	16.2789524228872	15.497739719095	15.6531859535839	16.0568866066628	15.8891057258572	15.8286075201646	15.2941020293775	15.6632219843894	16.3201169800859	15.6955383243712	11.7557825368656	15.4635640828228	14.8093170618977	15.4797898463336	15.4890326207627	14.4122865728734	15.3852377804421	15.1517977459722	15.0033600083909	15.4990160883236	15.5435170182592	14.2697932444693	14.9516546915014	15.3269505001193	15.0741493982352	14.3251416902092	15.1486202716893	15.5306993247242	13.9227278648179	15.049438565275	14.1521142666569	14.7716822607428	14.740609869736	14.1949805148969	14.856600638392	14.7157335665767	14.1731557465634	14.807211709382	14.7154403062942	14.7738268898469	15.0879231809917	14.1697858631716	14.5784838652909	14.7310846935446	14.2983320796559	13.0371106999774	14.491018705958	14.0209079120638	14.5466619259524	14.5817271578543	12.9024517183954	14.2231248994815	13.285105292429	14.0364383258425	13.7902770954484	13.7625536481145	14.1830967260988	14.2440185159507	13.6847352026062	14.1056528907421	12.9647603321824	14.3446588379387	14.2266491188929	13.9654134862841	13.8676984993358	14.1135463422764	13.223802625311	13.5878367560431	13.3733912136217	14.1432213146689	13.9323613343131	13.6953732785996	12.841302349117	13.9503808033004	13.7152512445773	13.4245760943461	14.1819378310759	12.4880876136122	13.8685461973369	13.955315282033	13.1210109989527	13.2613727403148	14.1144290769371	12.4098824563556	13.5851198401376	13.3474950576399	13.4929919189155	13.4302117305812	13.5155148817124	13.3017984050118	13.4238863667133	12.9330833431842	12.9178790330185	13.3281501834799	12.9270363018961	12.7312195653299	13.1901785087742	13.1071630036501	13.0907672735886	12.173543081387	13.0522085687011	13.2854474615721	13.245618617999	13.1163551579477	13.3987574244414	12.8477649023255	12.24728181117	12.5638295052869	13.1096995258577	13.7157829104306	13.0528942943324	12.8110783236583	12.4694883724019	13.0572081041943	13.5999086114991	13.1207265321037	12.8399336493438	13.1467631765925	12.6489162777336	12.7030819717082	12.8877082509241	12.5939477034871	12.4900385564741	13.1223987305794	12.8964138713285	12.5019410807152	12.3074914555132	12.9737154887786	12.781821747422	12.9438079844238	12.4035866459143	12.4596223351409	12.761764426611	11.5294015064867	12.5958311888128	12.1920444514078	11.8869569501116	12.4801695092446	12.5356757449847	12.1734948965513	12.1456223609536	12.4113997996146	11.5216861211143
CZC2558	18.1278929333746	17.1497819339144	17.7519520904248	17.7821987848986	16.8749491189454	17.4174187495567	16.242967030177	17.0250498253099	16.8907514830708	16.4793276282304	14.9865671436696	16.2258010830494	16.3940026351168	15.3060733881011	16.6024402871242	16.4759022997774	15.1512258540478	16.0880903781616	15.8033857324196	16.0484043906189	15.9525668433775	16.0789101768161	15.813947513347	15.831369834881	15.6577528939638	15.660879144707	15.544248646526	15.4714639612685	15.2008470972693	14.8914308810957	15.9270694558476	15.6240845499396	14.8058680785156	14.820830724446	14.9967668931191	15.2232563185161	13.4799680802233	15.7058878590128	14.8069325275345	15.2174670269345	15.3965462744738	15.1275077913878	14.5268035150794	15.0944136163846	14.5986651745101	15.157763239645	14.9348355681639	14.75477784587	15.0347903268684	13.8891044086945	14.8720337938299	14.4487148492753	14.9645776835127	13.8912511073811	14.3702547377196	14.7001631386004	13.9280793930511	14.5277524976938	14.6642560437503	13.9306533432251	14.3328698974469	14.6153388054203	13.4172385211287	14.6301190964067	14.5121945471364	14.2613168615073	12.7576777946586	14.076854124004	14.5704550381323	14.7018705682475	13.0737953045408	12.5514806730732	13.7701654815893	12.8320276650291	14.1372406657125	13.230629028407	13.7836066048628	13.6854745124618	13.9873888616555	13.4919747421016	13.7128248174594	13.6783979348965	14.1578360820548	14.2167350620741	13.1398377185014	13.9667451183309	13.6176495899296	13.4305558480939	13.958704239962	13.2921233152197	13.7970584107872	13.7325900408582	13.1928848044015	12.9758197909349	14.0074274238528	14.0610214574137	12.5458233097301	14.0978892968192	11.5465483896997	13.8094134381483	13.774351024505	13.1302938378108	13.3299869766583	13.9561706516634	12.1812042785834	13.7828896932037	13.4576984312497	12.6109813828928	13.0803196779481	13.115226260671	12.881819033618	13.1234551539993	13.2844609159394	13.2789508469322	13.2383055013109	12.5330595590868	12.5409625173008	12.6936960139515	13.2289184240459	13.1201288525121	11.1533210765387	12.8830470296	12.756559881297	13.1141166970162	12.7599847463235	13.1133189830987	12.6168799861363	12.4192137374205	12.243071176079	13.0510681574747	12.2771269581865	12.0641661456846	13.1876951964229	11.9977383236329	12.6573841090515	11.7955346684019	12.529892738845	12.4881017042659	12.8351656201863	12.0524448623853	12.4937579277268	12.6979863966562	12.8077484512615	12.4619956096777	11.5281836653156	12.5350880892468	12.837142611052	12.75626621113	12.724809567983	12.8706665578498	11.7054555354569	12.5595894121227	11.8923693314179	12.3691614356016	11.9186899469282	12.0280736223128	11.9423412155176	12.3083909590802	12.0458712743008	12.2513668005367	12.2505308072544	11.4900254094041	12.1812042785834	11.8494933513026
CZC2560	18.295700489	17.0866736907648	17.858280712957	17.8396649861952	16.9863763771802	17.5029863333821	16.2555524724957	16.8863768263806	16.8025548596496	16.2372479585117	15.1764079838668	16.6659258118572	16.623668884843	15.1135120467846	16.6135609597915	16.509859264829	15.3871849419156	16.0898173651835	16.0959424521582	16.1334979866461	16.1338994494677	16.2998992144502	15.6900773551636	15.7553140412325	15.8459233330926	15.9602893060055	16.0619551779584	15.232116842028	15.5436971873678	14.6838482111352	15.8743380941071	15.3185838249932	15.2802867479122	14.8004348588106	15.0448373899511	15.3416395431658	13.8214866604391	15.4828570624842	14.9626422697103	14.8199201415515	15.1797535954545	15.5633267300129	15.06636752004	15.0961221231663	14.782960872527	15.0056063145113	14.6641253161465	15.1472197658909	15.3008348302836	13.922151852974	15.281084213124	14.4474761717052	14.9934512857384	13.5998119444472	13.960905651267	14.5551452512445	14.5960209116263	15.0665295700799	14.227969574908	14.6048919435584	14.1625019091951	14.7048795373508	13.4908463566241	14.3224701550703	14.695959186717	14.5616746384	13.1714230799117	14.1077211837723	14.1628797105246	14.4218090097612	12.734475407616	12.5717288246134	13.0728778139809	12.8173914005544	14.1552627610382	13.1360346733082	13.4100001889318	14.0239963813328	13.940530919549	13.4462504006949	13.6545420813048	13.3144081171431	13.8811205729722	13.9304300486977	13.2897058962971	13.3683062238702	13.3249529190485	12.609614256904	13.7195215441743	13.43499998897	13.8303159305405	13.7557110892778	13.6934899035835	13.2057508427342	13.8267826119861	13.9826240951678	12.6340998250661	14.1375882904501	11.9419506694924	13.3683062238702	13.8454466958019	12.9803213956638	13.3977474781423	13.3889590149725	12.1605044493428	14.0937071145672	13.1376871592376	12.6305604690391	12.5042108447849	13.3682832763185	12.3816077962572	13.5017608729394	13.282366872899	13.2753744848513	13.2246058725445	12.5740893292398	12.370317201353	12.6216046536047	13.1703364348806	13.3375295303599	11.1940306916069	13.1899892124426	12.3962995182289	13.192109023965	13.1208131828734	13.0774570493797	12.4604695307113	12.6083083985463	12.1745648100768	13.1879793578741	11.7339001355621	12.5441016679456	12.8893625468525	11.8971020867202	12.8702311829295	11.1326150537482	13.0973260894552	12.9688553517306	12.5810692220552	12.0245807198971	12.4432679363019	12.2963775507299	12.5217697993236	12.5033000454214	12.1566995815827	13.2552783197874	12.6691333411077	12.349129455168	12.5088705440696	12.4442825901844	12.1650836480032	12.3043924736143	12.3011559618757	12.5459706681542	11.8188616340102	12.0318720955147	11.9609560874242	12.4501205828638	12.1947584568055	12.3554459478404	11.9384949136781	11.8010470785596	12.1605044493428	11.5677108220035
