DGRP	sex	value
DGRP_021	F	81.71875
DGRP_026	F	55.44444444444444
DGRP_028	F	100.11111111111111
DGRP_038	F	66.01515151515152
DGRP_040	F	54.53225806451613
DGRP_041	F	74.8125
DGRP_042	F	69.26153846153846
DGRP_045	F	55.04838709677419
DGRP_049	F	63.80281690140845
DGRP_057	F	73.18032786885246
DGRP_059	F	131.92307692307693
DGRP_069	F	62.21311475409836
DGRP_073	F	65.84375
DGRP_075	F	36.71212121212121
DGRP_083	F	82.484375
DGRP_085	F	61.94117647058823
DGRP_088	F	78.43859649122807
DGRP_091	F	66.52380952380952
DGRP_093	F	64.01515151515152
DGRP_101	F	81.86567164179104
DGRP_105	F	104.96825396825396
DGRP_109	F	82.19117647058823
DGRP_129	F	77.43478260869566
DGRP_136	F	107.57142857142857
DGRP_138	F	67.54098360655738
DGRP_142	F	84.4
DGRP_149	F	48.52307692307692
DGRP_153	F	97.4090909090909
DGRP_158	F	84.03448275862068
DGRP_161	F	62.87692307692308
DGRP_176	F	75.43283582089552
DGRP_177	F	25.23076923076923
DGRP_181	F	67.38461538461539
DGRP_189	F	60.41538461538462
DGRP_195	F	99.01694915254237
DGRP_208	F	120.18032786885246
DGRP_217	F	51.145161290322584
DGRP_223	F	54.55384615384615
DGRP_227	F	87.53030303030303
DGRP_228	F	99.0
DGRP_229	F	86.63333333333334
DGRP_233	F	75.41379310344827
DGRP_235	F	73.2741935483871
DGRP_237	F	111.67241379310344
DGRP_239	F	90.08695652173913
DGRP_256	F	80.2542372881356
DGRP_280	F	92.40677966101696
DGRP_287	F	88.42424242424242
DGRP_301	F	74.1304347826087
DGRP_303	F	78.95238095238095
DGRP_304	F	90.96923076923076
DGRP_306	F	104.67796610169492
DGRP_307	F	50.78260869565217
DGRP_309	F	72.04411764705883
DGRP_310	F	58.57575757575758
DGRP_313	F	86.83823529411765
DGRP_315	F	106.87301587301587
DGRP_317	F	69.64406779661017
DGRP_318	F	78.76119402985074
DGRP_320	F	112.85714285714286
DGRP_321	F	99.76470588235294
DGRP_324	F	73.4776119402985
DGRP_325	F	47.5
DGRP_332	F	108.55
DGRP_335	F	67.1029411764706
DGRP_336	F	72.078125
DGRP_338	F	107.56923076923077
DGRP_340	F	98.13846153846154
DGRP_350	F	102.52631578947368
DGRP_352	F	84.85714285714286
DGRP_356	F	61.08196721311475
DGRP_357	F	44.4
DGRP_358	F	100.83582089552239
DGRP_359	F	108.90163934426229
DGRP_360	F	65.6086956521739
DGRP_361	F	55.29032258064516
DGRP_362	F	80.17391304347827
DGRP_365	F	88.09859154929578
DGRP_367	F	87.328125
DGRP_370	F	98.55737704918033
DGRP_371	F	76.0
DGRP_373	F	96.24242424242425
DGRP_374	F	115.44067796610169
DGRP_375	F	110.73846153846154
DGRP_377	F	100.24193548387096
DGRP_379	F	71.67142857142858
DGRP_380	F	37.1764705882353
DGRP_381	F	58.59016393442623
DGRP_382	F	114.25
DGRP_383	F	77.61290322580645
DGRP_385	F	61.10144927536232
DGRP_386	F	100.53030303030303
DGRP_391	F	71.40579710144928
DGRP_392	F	73.49180327868852
DGRP_399	F	73.17910447761194
DGRP_405	F	69.0
DGRP_406	F	64.328125
DGRP_409	F	71.6029411764706
DGRP_426	F	94.53846153846153
DGRP_427	F	81.97014925373135
DGRP_437	F	96.57142857142857
DGRP_439	F	59.36363636363637
DGRP_440	F	80.62857142857143
DGRP_441	F	120.8
DGRP_443	F	106.04918032786885
DGRP_461	F	26.65671641791045
DGRP_486	F	76.16417910447761
DGRP_491	F	96.95384615384616
DGRP_492	F	93.85714285714286
DGRP_502	F	81.2909090909091
DGRP_508	F	74.25757575757575
DGRP_509	F	102.41176470588235
DGRP_513	F	83.33928571428571
DGRP_517	F	61.95384615384615
DGRP_530	F	98.9622641509434
DGRP_531	F	92.98461538461538
DGRP_535	F	75.8
DGRP_555	F	91.1470588235294
DGRP_563	F	76.16129032258064
DGRP_584	F	93.24528301886792
DGRP_589	F	98.98305084745763
DGRP_595	F	60.15873015873016
DGRP_639	F	67.58571428571429
DGRP_642	F	62.2463768115942
DGRP_646	F	85.35593220338983
DGRP_703	F	64.83333333333333
DGRP_705	F	83.14285714285714
DGRP_707	F	67.71212121212122
DGRP_712	F	88.02898550724638
DGRP_714	F	111.63235294117646
DGRP_716	F	125.83928571428571
DGRP_727	F	56.20338983050848
DGRP_730	F	62.39705882352941
DGRP_732	F	87.35384615384615
DGRP_737	F	67.12698412698413
DGRP_738	F	100.765625
DGRP_748	F	96.61666666666666
DGRP_757	F	28.294117647058822
DGRP_761	F	60.18181818181818
DGRP_765	F	35.64179104477612
DGRP_774	F	102.78333333333333
DGRP_776	F	80.9090909090909
DGRP_783	F	73.23076923076923
DGRP_786	F	97.05714285714286
DGRP_787	F	66.5079365079365
DGRP_790	F	58.28358208955224
DGRP_796	F	76.859375
DGRP_799	F	102.71186440677967
DGRP_801	F	62.91935483870968
DGRP_802	F	91.98360655737704
DGRP_804	F	42.970588235294116
DGRP_805	F	70.07575757575758
DGRP_808	F	82.81666666666666
DGRP_810	F	50.71212121212121
DGRP_812	F	58.0
DGRP_818	F	61.03076923076923
DGRP_819	F	68.80882352941177
DGRP_820	F	75.74242424242425
DGRP_821	F	119.54411764705883
DGRP_822	F	67.57407407407408
DGRP_832	F	59.583333333333336
DGRP_837	F	77.7
DGRP_843	F	97.55555555555556
DGRP_849	F	102.66129032258064
DGRP_850	F	60.08064516129032
DGRP_852	F	97.66666666666667
DGRP_853	F	86.27450980392157
DGRP_855	F	77.63076923076923
DGRP_857	F	42.720588235294116
DGRP_861	F	88.63235294117646
DGRP_879	F	71.23188405797102
DGRP_882	F	51.58064516129032
DGRP_884	F	55.111111111111114
DGRP_887	F	47.208955223880594
DGRP_890	F	57.98360655737705
DGRP_892	F	62.666666666666664
DGRP_894	F	58.93939393939394
DGRP_897	F	73.77272727272727
DGRP_900	F	91.14285714285714
DGRP_907	F	90.17391304347827
DGRP_908	F	58.276923076923076
DGRP_911	F	33.11290322580645
DGRP_913	F	113.63636363636364
