DGRP	sex	value
DGRP229	F	1.57318134209335
DGRP390	F	1.77107070009904
DGRP380	F	1.92908798621574
DGRP897	F	1.94768625946478
DGRP761	F	1.96195445446704
DGRP348	F	2.09840742445008
DGRP365	F	2.11987473458372
DGRP730	F	2.16862301218234
DGRP21	F	2.21716223464195
DGRP911	F	2.29376389267616
DGRP857	F	2.29694783542997
DGRP757	F	2.29862520237924
DGRP386	F	2.34366878066215
DGRP324	F	2.37561805629012
DGRP392	F	2.41403120904036
DGRP32	F	2.47860048541787
DGRP513	F	2.49355020473674
DGRP358	F	2.50057072843389
DGRP563	F	2.52120166762972
DGRP774	F	2.5310098557566
DGRP850	F	2.58124078264241
DGRP908	F	2.59394186075164
DGRP907	F	2.60206030353464
DGRP228	F	2.60306745757047
DGRP370	F	2.64767022842584
DGRP913	F	2.65198610226666
DGRP801	F	2.65681449183
DGRP738	F	2.69253284904936
DGRP195	F	2.72257490949791
DGRP502	F	2.75072323713355
DGRP105	F	2.79166992780071
DGRP712	F	2.79657598748819
DGRP91	F	2.79700103717336
DGRP808	F	2.80389125140478
DGRP405	F	2.80963614097045
DGRP892	F	2.8257230994305
DGRP427	F	2.82625743890581
DGRP321	F	2.82844830301354
DGRP129	F	2.83386475865135
DGRP57	F	2.83403513468422
DGRP732	F	2.85092450325011
DGRP440	F	2.89581922308401
DGRP280	F	2.89654656460473
DGRP802	F	2.90681116524292
DGRP88	F	2.91589129706934
DGRP310	F	2.93542471524819
DGRP810	F	2.94462487226009
DGRP338	F	2.95862117670894
DGRP373	F	2.96449753757965
DGRP357	F	2.97533582988545
DGRP595	F	2.98095907506344
DGRP382	F	3.02370271669047
DGRP426	F	3.05282667816487
DGRP306	F	3.06259153595934
DGRP555	F	3.06838207592949
DGRP406	F	3.0707447889673
DGRP359	F	3.09393837539041
DGRP703	F	3.11277527229604
DGRP391	F	3.11788405557825
DGRP879	F	3.12540382794429
DGRP109	F	3.13561184772129
DGRP31	F	3.13963143968043
DGRP100	F	3.14723444808347
DGRP101	F	3.16438430163007
DGRP335	F	3.19312478429007
DGRP374	F	3.23114767711415
DGRP42	F	3.25006664204313
DGRP59	F	3.25431263582152
DGRP535	F	3.25883198704773
DGRP319	F	3.29971664795463
DGRP73	F	3.31614218960957
DGRP303	F	3.32184899409772
DGRP318	F	3.32193511093375
DGRP371	F	3.35304660751024
DGRP208	F	3.3771807129275
DGRP799	F	3.37804974834435
DGRP437	F	3.41391776465285
DGRP721	F	3.43562644521159
DGRP309	F	3.52430811702412
DGRP354	F	3.58215516946843
DGRP783	F	3.58244574293477
DGRP385	F	3.59128145469131
DGRP383	F	3.62740509112879
DGRP361	F	3.68497282152177
DGRP776	F	3.71169503601684
DGRP235	F	3.7511866480423
DGRP716	F	3.76903859534625
DGRP75	F	3.77952329633002
DGRP443	F	3.80509692929768
DGRP843	F	3.87372707806054
DGRP304	F	3.87697906137355
DGRP93	F	3.90102322196964
DGRP855	F	3.90761119138037
DGRP320	F	3.9750084970498
DGRP517	F	3.98905414475433
DGRP821	F	3.99637423161449
DGRP189	F	4.00092710896621
DGRP705	F	4.0049565260835
DGRP136	F	4.08429063442381
DGRP217	F	4.13929242155775
DGRP287	F	4.24357484679631
DGRP820	F	4.27663646087479
DGRP379	F	4.56294499803469
DGRP441	F	4.58684351090393
DGRP362	F	4.61070339733553
DGRP859	F	5.03020861251353
DGRP890	F	5.25791982585392
DGRP509	F	5.93479666836584
