DGRP	sex	value
DGRP_021	F	48.77
DGRP_026	F	16.14
DGRP_028	F	37.09
DGRP_038	F	33.23
DGRP_041	F	37.91
DGRP_042	F	18.41
DGRP_045	F	62.23
DGRP_049	F	35.73
DGRP_057	F	40.41
DGRP_059	F	60.32
DGRP_069	F	24.38
DGRP_073	F	55.59
DGRP_075	F	67.91
DGRP_080	F	28.55
DGRP_083	F	11.18
DGRP_085	F	46.91
DGRP_088	F	34.32
DGRP_091	F	42.59
DGRP_093	F	48.41
DGRP_101	F	69
DGRP_105	F	25.73
DGRP_109	F	85.27
DGRP_129	F	14.32
DGRP_136	F	39.05
DGRP_138	F	16.82
DGRP_142	F	32.14
DGRP_149	F	40.45
DGRP_153	F	35.09
DGRP_158	F	25.55
DGRP_161	F	18.45
DGRP_176	F	42.68
DGRP_177	F	23.64
DGRP_181	F	27.41
DGRP_189	F	12.64
DGRP_195	F	53
DGRP_208	F	77.91
DGRP_217	F	38.59
DGRP_223	F	57.27
DGRP_227	F	21.59
DGRP_228	F	29.91
DGRP_229	F	14.09
DGRP_233	F	22.62
DGRP_235	F	6.11
DGRP_237	F	77.73
DGRP_239	F	29.45
DGRP_256	F	18.27
DGRP_272	F	34.86
DGRP_280	F	52.14
DGRP_287	F	28.64
DGRP_301	F	40.64
DGRP_303	F	51.23
DGRP_304	F	62
DGRP_306	F	14.86
DGRP_307	F	12.48
DGRP_309	F	69.5
DGRP_310	F	29.91
DGRP_313	F	12.59
DGRP_315	F	11.77
DGRP_317	F	20.41
DGRP_318	F	64.09
DGRP_319	F	39.68
DGRP_324	F	46.45
DGRP_325	F	36.23
DGRP_332	F	18.27
DGRP_335	F	52.91
DGRP_336	F	22.42
DGRP_338	F	45.05
DGRP_340	F	42.41
DGRP_350	F	29.64
DGRP_352	F	44.82
DGRP_356	F	38.59
DGRP_357	F	15.64
DGRP_358	F	40.36
DGRP_359	F	57.55
DGRP_360	F	45.05
DGRP_361	F	45.14
DGRP_362	F	45.23
DGRP_365	F	51.81
DGRP_367	F	47.23
DGRP_370	F	39.95
DGRP_371	F	19.77
DGRP_373	F	40.55
DGRP_374	F	60.59
DGRP_375	F	68.59
DGRP_377	F	23.05
DGRP_378	F	55.36
DGRP_379	F	34
DGRP_380	F	64.73
DGRP_381	F	28.76
DGRP_382	F	9.05
DGRP_383	F	18
DGRP_385	F	6.95
DGRP_386	F	76.21
DGRP_387	F	54.77
DGRP_391	F	71.5
DGRP_392	F	46.64
DGRP_393	F	49.14
DGRP_398	F	37
DGRP_399	F	10.41
DGRP_409	F	29.36
DGRP_426	F	41.77
DGRP_427	F	66.62
DGRP_437	F	43.45
DGRP_440	F	52.55
DGRP_441	F	49.64
DGRP_443	F	54.68
DGRP_461	F	12.17
DGRP_476	F	15.36
DGRP_486	F	23.32
DGRP_491	F	27.86
DGRP_492	F	15.5
DGRP_502	F	59.82
DGRP_508	F	26.86
DGRP_509	F	33.56
DGRP_514	F	54.32
DGRP_517	F	43.45
DGRP_535	F	54.55
DGRP_554	F	56.18
DGRP_555	F	54.5
DGRP_556	F	23.32
DGRP_563	F	71.05
DGRP_584	F	5.18
DGRP_589	F	22.09
DGRP_591	F	30.09
DGRP_595	F	29.36
DGRP_639	F	29.86
DGRP_642	F	31.86
DGRP_646	F	11.5
DGRP_703	F	53.36
DGRP_705	F	6.74
DGRP_707	F	18.77
DGRP_712	F	46.77
DGRP_714	F	33.59
DGRP_716	F	47.55
DGRP_721	F	43.5
DGRP_727	F	13.44
DGRP_730	F	44.32
DGRP_732	F	34
DGRP_737	F	23.41
DGRP_738	F	79.18
DGRP_748	F	39.36
DGRP_750	F	60.86
DGRP_757	F	12.75
DGRP_761	F	33.14
DGRP_765	F	34.18
DGRP_771	F	60.32
DGRP_774	F	50.09
DGRP_776	F	38.36
DGRP_783	F	57.73
DGRP_786	F	61.05
DGRP_787	F	40.86
DGRP_790	F	11.14
DGRP_796	F	36.95
DGRP_799	F	12.86
DGRP_801	F	40.32
DGRP_802	F	18.45
DGRP_804	F	56.33
DGRP_805	F	30.14
DGRP_808	F	34
DGRP_810	F	15.05
DGRP_812	F	29.09
DGRP_818	F	34.14
DGRP_819	F	27.82
DGRP_820	F	33.45
DGRP_821	F	76.84
DGRP_822	F	24.82
DGRP_832	F	21.43
DGRP_837	F	20.5
DGRP_843	F	13.36
DGRP_849	F	1.73
DGRP_850	F	34.73
DGRP_852	F	33.55
DGRP_853	F	49.91
DGRP_855	F	12.5
DGRP_857	F	31.91
DGRP_861	F	32.64
DGRP_879	F	34.91
DGRP_882	F	28.77
DGRP_884	F	13.5
DGRP_887	F	11.68
DGRP_890	F	30.77
DGRP_892	F	15.14
DGRP_894	F	15.09
DGRP_897	F	14.86
DGRP_900	F	66.55
DGRP_907	F	30.09
DGRP_908	F	44.77
DGRP_911	F	27.45
DGRP_913	F	98.86
