DGRP	sex	value
DGRP_101	F	20.639
DGRP_101	M	21.444
DGRP_105	F	17.188
DGRP_105	M	15.0
DGRP_109	F	14.936
DGRP_109	M	16.184
DGRP_129	F	19.551
DGRP_129	M	20.289
DGRP_136	F	16.616
DGRP_136	M	17.717
DGRP_138	F	18.402
DGRP_138	M	18.653
DGRP_142	F	11.765
DGRP_142	M	12.548
DGRP_149	F	17.081
DGRP_149	M	15.237
DGRP_153	F	15.263
DGRP_153	M	17.969
DGRP_158	F	11.949
DGRP_158	M	11.354
DGRP_161	F	26.804
DGRP_161	M	26.446
DGRP_176	F	29.198
DGRP_176	M	29.437
DGRP_177	F	24.798
DGRP_177	M	20.854
DGRP_181	F	26.529
DGRP_181	M	24.792
DGRP_189	F	22.725
DGRP_189	M	18.99
DGRP_195	F	13.909
DGRP_195	M	14.573
DGRP_208	F	15.694
DGRP_208	M	16.202
DGRP_021	F	18.99
DGRP_021	M	18.989
DGRP_217	F	13.684
DGRP_217	M	12.604
DGRP_223	F	20.719
DGRP_223	M	15.888
DGRP_227	F	17.098
DGRP_227	M	17.088
DGRP_228	F	12.439
DGRP_228	M	14.541
DGRP_229	F	13.667
DGRP_229	M	15.184
DGRP_233	F	11.798
DGRP_233	M	15.802
DGRP_235	F	21.363
DGRP_235	M	18.941
DGRP_237	F	16.118
DGRP_237	M	19.165
DGRP_239	F	26.851
DGRP_239	M	20.26
DGRP_256	F	17.082
DGRP_256	M	19.111
DGRP_026	F	15.716
DGRP_026	M	17.515
DGRP_028	F	15.99
DGRP_028	M	17.16
DGRP_280	F	14.515
DGRP_280	M	14.802
DGRP_287	F	12.88
DGRP_287	M	15.402
DGRP_301	F	13.406
DGRP_301	M	13.957
DGRP_303	F	21.086
DGRP_303	M	16.143
DGRP_304	F	14.433
DGRP_304	M	14.722
DGRP_306	F	14.938
DGRP_306	M	17.937
DGRP_307	F	12.828
DGRP_307	M	11.583
DGRP_309	F	9.871
DGRP_309	M	10.78
DGRP_310	F	19.221
DGRP_310	M	15.99
DGRP_313	F	24.958
DGRP_313	M	25.479
DGRP_315	F	13.969
DGRP_315	M	14.272
DGRP_318	F	17.143
DGRP_318	M	16.402
DGRP_319	F	13.516
DGRP_319	M	15.724
DGRP_324	F	18.515
DGRP_324	M	20.485
DGRP_325	F	14.93
DGRP_325	M	14.56
DGRP_332	F	14.214
DGRP_332	M	15.596
DGRP_335	F	15.051
DGRP_335	M	18.361
DGRP_336	F	22.637
DGRP_336	M	15.526
DGRP_338	F	11.156
DGRP_338	M	13.044
DGRP_340	F	8.539
DGRP_340	M	10.052
DGRP_350	F	12.989
DGRP_350	M	12.535
DGRP_352	F	11.857
DGRP_352	M	12.073
DGRP_356	F	8.58
DGRP_356	M	9.515
DGRP_357	F	13.9
DGRP_357	M	15.0
DGRP_358	F	11.867
DGRP_358	M	12.929
DGRP_359	F	13.02
DGRP_359	M	13.291
DGRP_360	F	9.255
DGRP_360	M	9.041
DGRP_361	F	16.313
DGRP_361	M	13.734
DGRP_362	F	14.56
DGRP_362	M	17.313
DGRP_365	F	11.438
DGRP_365	M	11.622
DGRP_367	F	12.31
DGRP_367	M	14.635
