DGRP	sex	value
DGRP_100	F	77.92
DGRP_100	M	49.28
DGRP_101	F	57.76
DGRP_101	M	47.2
DGRP_105	F	73.12
DGRP_105	M	51.04
DGRP_109	F	53.44
DGRP_109	M	44.96
DGRP_129	F	42.775510204081634
DGRP_129	M	32.97959183673469
DGRP_136	F	104.32
DGRP_136	M	63.04
DGRP_138	F	59.52
DGRP_138	M	47.83673469387755
DGRP_142	F	59.265306122448976
DGRP_142	M	38.4
DGRP_149	F	47.0
DGRP_149	M	35.84
DGRP_153	F	59.04
DGRP_153	M	40.32
DGRP_161	F	53.76
DGRP_161	M	42.44897959183673
DGRP_176	F	52.244897959183675
DGRP_176	M	39.5
DGRP_177	F	53.714285714285715
DGRP_177	M	33.44
DGRP_181	F	56.96
DGRP_181	M	48.64
DGRP_189	F	57.6
DGRP_189	M	59.2
DGRP_195	F	65.6
DGRP_195	M	49.44
DGRP_208	F	53.6
DGRP_208	M	49.333333333333336
DGRP_021	F	74.72
DGRP_021	M	36.59574468085106
DGRP_217	F	106.56
DGRP_217	M	60.32
DGRP_223	F	68.16666666666667
DGRP_223	M	45.04347826086956
DGRP_227	F	52.16
DGRP_227	M	39.36
DGRP_228	F	65.95918367346938
DGRP_228	M	46.88
DGRP_229	F	39.3469387755102
DGRP_229	M	33.333333333333336
DGRP_233	F	73.14285714285714
DGRP_233	M	66.56
DGRP_235	F	71.33333333333333
DGRP_235	M	49.955555555555556
DGRP_237	F	53.6
DGRP_237	M	36.64
DGRP_239	F	57.702127659574465
DGRP_239	M	46.08
DGRP_026	F	41.45454545454545
DGRP_026	M	34.8936170212766
DGRP_028	F	50.08
DGRP_028	M	43.36
DGRP_280	F	69.83333333333333
DGRP_280	M	45.666666666666664
DGRP_287	F	64.65306122448979
DGRP_287	M	46.72
DGRP_301	F	65.28
DGRP_301	M	53.38775510204081
DGRP_303	F	54.72
DGRP_303	M	48.32
DGRP_304	F	68.96
DGRP_304	M	59.68
DGRP_306	F	65.33333333333333
DGRP_306	M	51.36
DGRP_307	F	75.74468085106383
DGRP_307	M	70.29787234042553
DGRP_309	F	62.204081632653065
DGRP_309	M	48.64
DGRP_031	F	71.33333333333333
DGRP_031	M	72.0
DGRP_313	F	72.81632653061224
DGRP_313	M	39.833333333333336
DGRP_315	F	51.84
DGRP_315	M	54.04081632653061
DGRP_317	F	48.64
DGRP_317	M	27.666666666666668
DGRP_318	F	59.744680851063826
DGRP_318	M	40.48979591836735
DGRP_319	F	64.83333333333333
DGRP_319	M	54.04081632653061
DGRP_032	F	56.16
DGRP_032	M	32.32
DGRP_320	F	87.52
DGRP_320	M	54.36734693877551
DGRP_321	F	52.0
DGRP_321	M	43.744680851063826
DGRP_324	F	34.44897959183673
DGRP_324	M	36.255319148936174
DGRP_325	F	43.68
DGRP_325	M	40.851063829787236
DGRP_332	F	47.52
DGRP_332	M	28.408163265306122
DGRP_335	F	69.12
DGRP_335	M	49.92
DGRP_336	F	75.10204081632654
DGRP_336	M	44.08163265306123
DGRP_338	F	61.28
DGRP_338	M	41.63265306122449
DGRP_340	F	57.63265306122449
DGRP_340	M	48.64
DGRP_348	F	50.08
DGRP_348	M	40.627450980392155
DGRP_350	F	53.0
DGRP_350	M	38.69387755102041
DGRP_352	F	45.6
DGRP_352	M	36.8
DGRP_354	F	57.95918367346939
DGRP_354	M	49.12
DGRP_355	F	66.24
DGRP_355	M	52.48
DGRP_356	F	83.10204081632654
DGRP_356	M	46.0
DGRP_357	F	63.68
DGRP_357	M	48.816326530612244
DGRP_358	F	55.3469387755102
DGRP_358	M	34.56
DGRP_359	F	51.84
DGRP_359	M	40.64
DGRP_360	F	53.714285714285715
DGRP_360	M	43.68
DGRP_361	F	55.84
DGRP_361	M	30.72
DGRP_365	F	50.5
DGRP_365	M	45.06122448979592
DGRP_367	F	60.8
DGRP_367	M	52.734693877551024
DGRP_370	F	55.04
DGRP_370	M	32.666666666666664
DGRP_371	F	57.12
DGRP_371	M	43.68
DGRP_373	F	72.16
DGRP_373	M	57.28
DGRP_374	F	60.48
DGRP_374	M	39.148936170212764
DGRP_375	F	66.72
DGRP_375	M	44.666666666666664
DGRP_377	F	64.16326530612245
DGRP_377	M	52.244897959183675
DGRP_379	F	88.18181818181819
DGRP_379	M	55.166666666666664
DGRP_038	F	44.93617021276596
DGRP_038	M	37.87755102040816
DGRP_380	F	42.24
DGRP_380	M	29.12
DGRP_381	F	42.38297872340426
DGRP_381	M	35.52
DGRP_382	F	67.5
DGRP_382	M	46.53061224489796
DGRP_383	F	57.12
DGRP_383	M	40.32
DGRP_385	F	71.83673469387755
DGRP_385	M	49.12
DGRP_386	F	38.833333333333336
DGRP_386	M	25.76
DGRP_390	F	44.734693877551024
DGRP_390	M	35.733333333333334
DGRP_391	F	63.2
DGRP_391	M	30.24
DGRP_392	F	51.52
DGRP_392	M	36.32
DGRP_395	F	59.84
DGRP_395	M	40.0
DGRP_397	F	50.0
DGRP_397	M	39.83673469387755
DGRP_399	F	55.52
DGRP_399	M	37.92
DGRP_040	F	67.33333333333333
DGRP_040	M	41.6
DGRP_405	F	58.72
DGRP_405	M	45.38775510204081
DGRP_406	F	59.06382978723404
DGRP_406	M	41.6
DGRP_409	F	51.04
DGRP_409	M	42.24
DGRP_041	F	77.71428571428571
DGRP_041	M	58.604651162790695
DGRP_042	F	39.83673469387755
DGRP_042	M	21.28
DGRP_426	F	54.297872340425535
DGRP_426	M	42.12244897959184
DGRP_427	F	48.16
DGRP_427	M	38.56
DGRP_437	F	64.9795918367347
DGRP_437	M	51.91836734693877
DGRP_439	F	50.5
DGRP_439	M	37.12
DGRP_440	F	66.5
DGRP_440	M	42.44897959183673
DGRP_441	F	65.28
DGRP_441	M	48.0
DGRP_443	F	57.30612244897959
DGRP_443	M	49.76
DGRP_045	F	49.44
DGRP_045	M	36.32
DGRP_461	F	40.48
DGRP_461	M	26.612244897959183
DGRP_048	F	78.88
DGRP_048	M	56.32
DGRP_486	F	68.8
DGRP_486	M	45.92
DGRP_049	F	66.08
DGRP_049	M	49.30612244897959
DGRP_491	F	78.4
DGRP_491	M	46.72
DGRP_492	F	70.56
DGRP_492	M	64.0
DGRP_502	F	42.61224489795919
DGRP_502	M	30.88
DGRP_505	F	41.63265306122449
DGRP_505	M	33.795918367346935
DGRP_508	F	52.96
DGRP_508	M	59.04
