DGRP	sex	value
DGRP_021	F	0.06356700267
DGRP_021	M	0.0162342675
DGRP_026	F	0.06100372767
DGRP_026	M	0.02813640675
DGRP_028	F	0.065844753
DGRP_028	M	0.017355936
DGRP_031	F	0.07321997333
DGRP_031	M	0.0441384346667
DGRP_038	F	0.04972424514
DGRP_038	M	0.038368469
DGRP_040	F	0.06489127167
DGRP_040	M	0.0189382365
DGRP_041	F	0.07723743233
DGRP_041	M	0.0438111766667
DGRP_042	F	0.07093744233
DGRP_042	M	0.0206107373333
DGRP_045	F	0.078366303
DGRP_045	M	0.0246385873333
DGRP_048	F	0.06995690433
DGRP_048	M	0.0300575126667
DGRP_049	F	0.05608860167
DGRP_049	M	0.0362649143333
DGRP_057	F	0.06673035975
DGRP_057	M	0.0229202103333
DGRP_059	F	0.092138211
DGRP_059	M	0.04921697
DGRP_073	F	0.057841489
DGRP_073	M	0.0105092776667
DGRP_075	F	0.05505932567
DGRP_075	M	0.0260218063333
DGRP_083	F	0.05532292167
DGRP_083	M	0.024836479
DGRP_085	F	0.060634925
DGRP_085	M	0.027383736
DGRP_088	F	0.097483553
DGRP_088	M	0.0587896133333
DGRP_091	F	0.086516659
DGRP_091	M	0.0375847926667
DGRP_093	F	0.069871384
DGRP_093	M	0.0424324006667
DGRP_100	F	0.07976425233
DGRP_100	M	0.0609137423333
DGRP_101	F	0.04830080033
DGRP_101	M	0.0232570576667
DGRP_105	F	0.14134896983
DGRP_105	M	0.0641380431667
DGRP_109	F	0.07883894833
DGRP_109	M	0.0225589773333
DGRP_129	F	0.07264332
DGRP_129	M	0.0433072286667
DGRP_136	F	0.064250408
DGRP_136	M	0.0408723395
DGRP_138	F	0.05510530667
DGRP_138	M	0.0223815416667
DGRP_142	F	0.07617594133
DGRP_142	M	0.0293988963333
DGRP_149	F	0.08575855533
DGRP_149	M	0.0394757206667
DGRP_153	F	0.08270976
DGRP_153	M	0.036588084
DGRP_158	F	0.05065596475
DGRP_158	M	0.0226174663333
DGRP_161	F	0.035704567
DGRP_161	M	0.011998982
DGRP_176	F	0.05137334133
DGRP_176	M	0.0240461706667
DGRP_177	F	0.07699844567
DGRP_177	M	0.0421280506667
DGRP_181	F	0.089697644
DGRP_181	M	0.030414388
DGRP_189	F	0.04970947867
DGRP_189	M	0.0268060216667
DGRP_195	F	0.073352461
DGRP_195	M	0.027012198
DGRP_208	F	0.07774316733
DGRP_208	M	0.0217989866667
DGRP_217	F	0.069711081
DGRP_217	M	0.0477500123333
DGRP_223	F	0.03832751333
DGRP_223	M	0.0149422723333
DGRP_227	F	0.06024243433
DGRP_227	M	0.0191339506667
DGRP_228	F	0.04314371475
DGRP_228	M	0.014976268
DGRP_229	F	0.035891162
DGRP_229	M	0.0193196126667
DGRP_233	F	0.07981913867
DGRP_233	M	0.028553043
DGRP_235	F	0.069233827
DGRP_235	M	0.0879693836667
DGRP_237	F	0.04467685633
DGRP_237	M	0.0167928913333
DGRP_239	F	0.05174467625
DGRP_239	M	0.021490329
DGRP_256	F	0.057684237
DGRP_256	M	0.0255522273333
DGRP_280	F	0.10544990733
DGRP_280	M	0.0305383686667
DGRP_287	F	0.05240721
DGRP_287	M	0.0195413203333
DGRP_301	F	0.088247153
DGRP_301	M	0.0400739433333
DGRP_303	F	0.220388985
DGRP_303	M	0.0407836003333
DGRP_304	F	0.08369161967
DGRP_304	M	0.0544824726667
DGRP_306	F	0.10226228133
DGRP_306	M	0.031724324
DGRP_307	F	0.05513975225
DGRP_307	M	0.0210795953333
DGRP_309	F	0.05919770383
DGRP_309	M	0.0403329093333
DGRP_310	F	0.092804796
DGRP_310	M	0.0522807563333
DGRP_313	F	0.088722852
DGRP_313	M	0.059071753
DGRP_315	F	0.09999091
DGRP_315	M	0.0527373633333
DGRP_318	F	0.08442448233
DGRP_318	M	0.0243080226667
DGRP_320	F	0.07193346967
DGRP_320	M	0.029025063
DGRP_321	F	0.05478150867
DGRP_321	M	0.023620813
DGRP_324	F	0.07370737283
DGRP_324	M	0.0288985235
DGRP_332	F	0.07036266667
DGRP_332	M	0.028716805
DGRP_335	F	0.04797987767
DGRP_335	M	0.0152289323333
DGRP_336	F	0.05304664467
DGRP_336	M	0.014275671
DGRP_367	F	0.03468393567
DGRP_367	M	0.0294169943333
DGRP_370	F	0.121419332
DGRP_370	M	0.0330699123333
DGRP_371	F	0.07063285467
DGRP_371	M	0.0332490243333
DGRP_373	F	0.05346333325
DGRP_373	M	0.0189443923333
DGRP_374	F	0.050313333
DGRP_374	M	0.0295281283333
DGRP_375	F	0.103141918
DGRP_375	M	0.0286594606667
DGRP_377	F	0.09465170033
DGRP_377	M	0.0330742316667
DGRP_379	F	0.089715501
DGRP_379	M	0.014392742
DGRP_380	F	0.05328173667
DGRP_380	M	0.0271999363333
DGRP_381	F	0.0880476795
DGRP_381	M	0.0586418846667
DGRP_382	F	0.06618842733
DGRP_382	M	0.0320862806667
DGRP_383	F	0.06840812267
DGRP_383	M	0.0324856793333
DGRP_385	F	0.085323519
DGRP_385	M	0.023043447
DGRP_386	F	0.06890314033
DGRP_386	M	0.0435424363333
DGRP_391	F	0.07822790633
DGRP_391	M	0.01952453
DGRP_392	F	0.05984336567
DGRP_392	M	0.0222832766667
DGRP_399	F	0.07036359567
DGRP_399	M	0.0340951246667
DGRP_405	F	0.036397202
DGRP_405	M	0.0276962916667
DGRP_406	F	0.079938391
DGRP_406	M	0.051740202
DGRP_409	F	0.10309260867
DGRP_409	M	0.0181357726667
DGRP_426	F	0.06177393733
DGRP_426	M	0.0174602503333
DGRP_427	F	0.05842984733
DGRP_427	M	0.0349539956667
DGRP_437	F	0.06070032633
DGRP_437	M	0.0197941356667
DGRP_439	F	0.0449998375
DGRP_439	M	0.023656237
DGRP_440	F	0.08790034329
DGRP_440	M	0.0554495788333
DGRP_441	F	0.067531658
DGRP_441	M	0.0319753213333
DGRP_443	F	0.06856417533
DGRP_443	M	0.0238416093333
DGRP_486	F	0.06268757833
DGRP_486	M	0.0228647556667
DGRP_491	F	0.05210762633
DGRP_491	M	0.0279354303333
DGRP_502	F	0.10547760767
DGRP_502	M	0.040740146
DGRP_508	F	0.06209953533
DGRP_508	M	0.0376655366667
DGRP_509	F	0.0719235202
DGRP_509	M	0.0350607718333
DGRP_517	F	0.04840026533
DGRP_517	M	0.0257982623333
DGRP_530	F	0.08094479233
DGRP_530	M	0.059904916
DGRP_531	F	0.06982115
DGRP_531	M	0.0194586666667
DGRP_535	F	0.07599866633
DGRP_535	M	0.0450030236667
DGRP_551	F	0.06241311533
DGRP_551	M	0.031235873
DGRP_555	F	0.0317855558
DGRP_555	M	0.0267435136667
DGRP_559	F	0.06189428733
DGRP_559	M	0.024956786
DGRP_563	F	0.061309324
DGRP_563	M	0.0516823806667
DGRP_584	F	0.07703151833
DGRP_584	M	0.0472940656667
DGRP_589	F	0.05391014933
DGRP_589	M	0.0394233
DGRP_595	F	0.08014405967
DGRP_595	M	0.032821118
DGRP_639	F	0.056373483
DGRP_639	M	0.038011969
DGRP_642	F	0.044797969
DGRP_642	M	0.0336932966667
DGRP_646	F	0.052489054
DGRP_646	M	0.0265056206667
DGRP_703	F	0.08990835233
DGRP_703	M	0.0224870726667
DGRP_705	F	0.0638260995
DGRP_705	M	0.041097219
DGRP_707	F	0.08148058933
DGRP_707	M	0.0343283986667
DGRP_712	F	0.09465844725
DGRP_712	M	0.0245208273333
DGRP_714	F	0.06942297825
DGRP_714	M	0.0386922763333
DGRP_716	F	0.06501957133
DGRP_716	M	0.0292657306667
DGRP_721	F	0.0505450445
DGRP_721	M	0.022153808
DGRP_727	F	0.0720204265
DGRP_727	M	0.0167239023333
DGRP_730	F	0.108832783
DGRP_730	M	0.0330644506667
DGRP_732	F	0.0521981615
DGRP_732	M	0.03367445
DGRP_737	F	0.08193398067
DGRP_737	M	0.029568541
DGRP_738	F	0.08409476267
DGRP_738	M	0.0270913373333
DGRP_748	F	0.10232207933
DGRP_748	M	0.044808278
DGRP_761	F	0.06761839667
DGRP_761	M	0.0213041506667
DGRP_765	F	0.117506422
DGRP_765	M	0.049161667
DGRP_774	F	0.07707921933
DGRP_774	M	0.0298624833333
DGRP_776	F	0.03199316671
DGRP_776	M	0.0213043435
DGRP_783	F	0.07224253267
DGRP_783	M	0.02130627
DGRP_786	F	0.04356806886
DGRP_786	M	0.0316115005
DGRP_787	F	0.05989300933
DGRP_787	M	0.0333581213333
DGRP_790	F	0.171406055
DGRP_790	M	0.0878815713333
DGRP_796	F	0.14041303
DGRP_796	M	0.070688442
DGRP_799	F	0.04754375167
DGRP_799	M	0.0391094773333
DGRP_801	F	0.055518287
DGRP_801	M	0.034088201
DGRP_802	F	0.05950327733
DGRP_802	M	0.0432162525
DGRP_804	F	0.08338151033
DGRP_804	M	0.0347774923333
DGRP_805	F	0.050609518
DGRP_805	M	0.0242852986667
DGRP_808	F	0.11351695433
DGRP_808	M	0.054373152
DGRP_810	F	0.06133660667
DGRP_810	M	0.03169803
DGRP_812	F	0.054366043
DGRP_812	M	0.0295239003333
DGRP_818	F	0.05772972733
DGRP_818	M	0.0218715376667
DGRP_819	F	0.09556549833
DGRP_819	M	0.020210626
DGRP_820	F	0.07475634267
DGRP_820	M	0.0283248436667
DGRP_821	F	0.04326339333
DGRP_821	M	0.0205749553333
DGRP_822	F	0.10982203367
DGRP_822	M	0.0456102006667
DGRP_832	F	0.052114331
DGRP_832	M	0.0265616526667
DGRP_837	F	0.063238295
DGRP_837	M	0.0219718123333
DGRP_843	F	0.07274267633
DGRP_843	M	0.0321036926667
DGRP_849	F	0.0582088855
DGRP_849	M	0.0239559186667
DGRP_850	F	0.05873338433
DGRP_850	M	0.0305119243333
DGRP_852	F	0.07261914667
DGRP_852	M	0.0430450463333
DGRP_853	F	0.05909940167
DGRP_853	M	0.0299311866667
DGRP_855	F	0.05099568767
DGRP_855	M	0.041074946
DGRP_861	F	0.11798737967
DGRP_861	M	0.0435904596667
DGRP_069	F	0.0506332495
DGRP_338	F	0.06078812667
DGRP_340	F	0.08324183233
DGRP_350	F	0.064896676
DGRP_352	F	0.12383586867
DGRP_356	F	0.089044619
DGRP_357	F	0.069921722
DGRP_358	F	0.0891931395
DGRP_359	F	0.09141549367
DGRP_360	F	0.054196395
DGRP_361	F	0.0532457005
DGRP_362	F	0.06932789167
DGRP_365	F	0.0386617755
DGRP_913	M	0.034001027
