DGRP	sex	value
DGRP21	M	0.04755192
DGRP26	M	0.1046145
DGRP28	M	0.03545133
DGRP38	M	0.03988774
DGRP42	M	0.04758135
DGRP45	M	0.09397506
DGRP49	M	0.03867209
DGRP57	M	0.04806854
DGRP59	M	0.03827312
DGRP69	M	0.10684635
DGRP73	M	0.03309111
DGRP75	M	0.0852541
DGRP83	M	0.06776215
DGRP85	M	0.09037815
DGRP88	M	0.05711261
DGRP91	M	0.0813613
DGRP101	M	0.04353839
DGRP109	M	0.06250141
DGRP136	M	0.09350239
DGRP138	M	0.04348044
DGRP142	M	0.0534322
DGRP149	M	0.05763917
DGRP153	M	0.0593254
DGRP158	M	0.08673768
DGRP161	M	0.045974
DGRP176	M	0.04903871
DGRP177	M	0.0476208
DGRP181	M	0.07805853
DGRP195	M	0.04354445
DGRP208	M	0.0563707
DGRP217	M	0.07988794
DGRP228	M	0.05322573
DGRP229	M	0.07685597
DGRP233	M	0.07285163
DGRP235	M	0.06335921
DGRP237	M	0.0581908
DGRP239	M	0.0907616
DGRP256	M	0.05692175
DGRP272	M	0.09286614
DGRP280	M	0.06584737
DGRP287	M	0.07616221
DGRP306	M	0.07568493
DGRP307	M	0.09330142
DGRP309	M	0.06291245
DGRP310	M	0.050804
DGRP315	M	0.05661369
DGRP318	M	0.03467371
DGRP324	M	0.07080349
DGRP325	M	0.05239631
DGRP332	M	0.06064833
DGRP336	M	0.06560051
DGRP338	M	0.06326338
DGRP350	M	0.11540286
DGRP352	M	0.02065493
DGRP356	M	0.09551505
DGRP357	M	0.090096
DGRP358	M	0.06568601
DGRP359	M	0.04562376
DGRP360	M	0.0733786
DGRP362	M	0.08644709
DGRP365	M	0.04715272
DGRP367	M	0.02909227
DGRP370	M	0.0632949
DGRP373	M	0.07144958
DGRP374	M	0.043089
DGRP375	M	0.07089151
DGRP377	M	0.04084621
DGRP378	M	0.07905779
DGRP379	M	0.07968955
DGRP380	M	0.0434403
DGRP381	M	0.06777672
DGRP383	M	0.07755033
DGRP391	M	0.08639483
DGRP392	M	0.02795077
DGRP393	M	0.07474198
DGRP398	M	0.07185573
DGRP399	M	0.07717502
DGRP426	M	0.09786689
DGRP427	M	0.0845908
DGRP437	M	0.07718483
DGRP440	M	0.08051238
DGRP441	M	0.06138858
DGRP443	M	0.10685255
DGRP461	M	0.05264611
DGRP486	M	0.1012604
DGRP491	M	0.07693779
DGRP492	M	0.07648463
DGRP502	M	0.12150047
DGRP508	M	0.10886039
DGRP509	M	0.08494898
DGRP514	M	0.09545074
DGRP517	M	0.03193343
DGRP535	M	0.05009929
DGRP554	M	0.07384132
DGRP555	M	0.08961171
DGRP563	M	0.10381649
DGRP589	M	0.06226427
DGRP595	M	0.04609785
DGRP639	M	0.068193
DGRP642	M	0.08297826
DGRP646	M	0.03527971
DGRP703	M	0.06408972
DGRP707	M	0.10174358
DGRP712	M	0.05762178
DGRP714	M	0.02783677
DGRP716	M	0.09979101
DGRP721	M	0.10200966
DGRP727	M	0.05014259
DGRP730	M	0.07703916
DGRP732	M	0.0938884
DGRP737	M	0.06852973
DGRP738	M	0.0777231
DGRP761	M	0.04824579
DGRP765	M	0.05745889
DGRP774	M	0.08699892
DGRP776	M	0.07518629
DGRP783	M	0.0490571
DGRP786	M	0.05285156
DGRP787	M	0.08304322
DGRP790	M	0.08995135
DGRP796	M	0.09165298
DGRP799	M	0.06836942
DGRP801	M	0.08606325
DGRP802	M	0.07592303
DGRP804	M	0.05446588
DGRP808	M	0.09746606
DGRP810	M	0.08984037
DGRP812	M	0.08436808
DGRP818	M	0.04769632
DGRP820	M	0.07851051
DGRP822	M	0.04410214
DGRP832	M	0.06732114
DGRP837	M	0.07238688
DGRP852	M	0.08073579
DGRP853	M	0.04474038
DGRP855	M	0.02596637
DGRP857	M	0.03887011
DGRP861	M	0.01464052
DGRP879	M	0.03389334
DGRP884	M	0.0797668
DGRP890	M	0.06725135
DGRP892	M	0.09843651
DGRP894	M	0.08761708
DGRP897	M	0.09205506
DGRP907	M	0.08985783
DGRP908	M	0.04850231
DGRP911	M	0.06844079
