DGRP	sex	value
DGRP21	M	0.02390968
DGRP26	M	0.03984919
DGRP28	M	0.03629055
DGRP38	M	0.05849194
DGRP42	M	0.03221584
DGRP45	M	0.04768048
DGRP49	M	0.04895618
DGRP57	M	0.04049276
DGRP59	M	0.05097043
DGRP69	M	0.06055591
DGRP73	M	0.05315508
DGRP75	M	0.06689728
DGRP83	M	0.06288027
DGRP85	M	0.04998537
DGRP88	M	0.03421839
DGRP91	M	0.04284383
DGRP93	M	0.06073757
DGRP101	M	0.05682041
DGRP109	M	0.02520689
DGRP129	M	0.06085964
DGRP136	M	0.07920294
DGRP138	M	0.03564279
DGRP142	M	0.02895995
DGRP149	M	0.05735325
DGRP153	M	0.03616709
DGRP158	M	0.04512419
DGRP161	M	0.06090502
DGRP176	M	0.04652263
DGRP177	M	0.06013538
DGRP181	M	0.03457223
DGRP195	M	0.07091961
DGRP208	M	0.04121288
DGRP217	M	0.05783948
DGRP228	M	0.04668726
DGRP229	M	0.02783883
DGRP233	M	0.06835481
DGRP235	M	0.07386746
DGRP237	M	0.07274805
DGRP239	M	0.03217777
DGRP256	M	0.0381456
DGRP272	M	0.05827433
DGRP280	M	0.05691966
DGRP287	M	0.04918669
DGRP306	M	0.0688489
DGRP309	M	0.0499026
DGRP310	M	0.04072134
DGRP315	M	0.07387502
DGRP318	M	0.03413581
DGRP324	M	0.06499193
DGRP325	M	0.05321866
DGRP332	M	0.04265709
DGRP336	M	0.06105306
DGRP338	M	0.04051
DGRP350	M	0.08414817
DGRP352	M	0.02406702
DGRP356	M	0.04280592
DGRP357	M	0.05154334
DGRP358	M	0.0365139
DGRP359	M	0.06057642
DGRP360	M	0.03178906
DGRP362	M	0.05847804
DGRP365	M	0.02092448
DGRP367	M	0.02788543
DGRP370	M	0.02691451
DGRP373	M	0.03776724
DGRP374	M	0.0342696
DGRP375	M	0.0445658
DGRP377	M	0.06012399
DGRP378	M	0.03306768
DGRP379	M	0.04207202
DGRP380	M	0.04146346
DGRP381	M	0.02523503
DGRP383	M	0.03894625
DGRP386	M	0.01556144
DGRP391	M	0.01493669
DGRP392	M	0.01783034
DGRP393	M	0.03837647
DGRP398	M	0.05348365
DGRP399	M	0.06008551
DGRP426	M	0.05881089
DGRP427	M	0.05365703
DGRP437	M	0.03605893
DGRP440	M	0.05967724
DGRP441	M	0.06778693
DGRP443	M	0.06265772
DGRP461	M	0.02256716
DGRP486	M	0.04631679
DGRP491	M	0.08042471
DGRP492	M	0.0217124
DGRP502	M	0.05840904
DGRP508	M	0.02785998
DGRP509	M	0.03286632
DGRP514	M	0.05512196
DGRP517	M	0.04083043
DGRP535	M	0.04227168
DGRP554	M	0.05119093
DGRP555	M	0.04993931
DGRP563	M	0.01675709
DGRP589	M	0.05591321
DGRP595	M	0.04325829
DGRP639	M	0.03688323
DGRP642	M	0.07241922
DGRP646	M	0.02978835
DGRP703	M	0.0529483
DGRP707	M	0.05804089
DGRP712	M	0.04029496
DGRP714	M	0.0240333
DGRP716	M	0.04226456
DGRP721	M	0.05702565
DGRP730	M	0.03042181
DGRP732	M	0.03661001
DGRP737	M	0.04443382
DGRP738	M	0.05028254
DGRP761	M	0.09024563
DGRP765	M	0.06073606
DGRP774	M	0.02604466
DGRP776	M	0.04164786
DGRP783	M	0.06044729
DGRP786	M	0.03376683
DGRP787	M	0.05773525
DGRP790	M	0.04085055
DGRP796	M	0.05342991
DGRP799	M	0.0746494
DGRP801	M	0.03830911
DGRP802	M	0.06003308
DGRP804	M	0.03880786
DGRP805	M	0.07288128
DGRP808	M	0.05792139
DGRP810	M	0.0586096
DGRP812	M	0.05693579
DGRP818	M	0.07550676
DGRP820	M	0.08304552
DGRP822	M	0.03576545
DGRP832	M	0.04460131
DGRP837	M	0.04363279
DGRP852	M	0.03804631
DGRP853	M	0.04202819
DGRP855	M	0.02429781
DGRP857	M	0.05352597
DGRP861	M	0.02375804
DGRP879	M	0.01998347
DGRP882	M	0.06098271
DGRP884	M	0.06039411
DGRP890	M	0.0512621
DGRP892	M	0.04537506
DGRP894	M	0.0276434
DGRP897	M	0.04063345
DGRP907	M	0.03849863
DGRP908	M	0.04495077
DGRP911	M	0.03575422
