DGRP	sex	value
DGRP21	M	0.0357308
DGRP26	M	0.07223185
DGRP28	M	0.03587094
DGRP38	M	0.04918984
DGRP42	M	0.0398986
DGRP45	M	0.07082777
DGRP49	M	0.04381414
DGRP57	M	0.04428065
DGRP59	M	0.04462178
DGRP69	M	0.08370113
DGRP73	M	0.0431231
DGRP75	M	0.07607569
DGRP83	M	0.06532121
DGRP85	M	0.07018176
DGRP88	M	0.0456655
DGRP91	M	0.06210257
DGRP101	M	0.0501794
DGRP109	M	0.04385415
DGRP136	M	0.08635267
DGRP138	M	0.03956162
DGRP142	M	0.04119607
DGRP149	M	0.05749621
DGRP153	M	0.04774624
DGRP158	M	0.06593093
DGRP161	M	0.05343951
DGRP176	M	0.04778067
DGRP177	M	0.05387809
DGRP181	M	0.05631538
DGRP195	M	0.05723203
DGRP208	M	0.04879179
DGRP217	M	0.06886371
DGRP228	M	0.0499565
DGRP229	M	0.0523474
DGRP233	M	0.07060322
DGRP235	M	0.06861334
DGRP237	M	0.06546942
DGRP239	M	0.06146969
DGRP256	M	0.04753368
DGRP272	M	0.07557023
DGRP280	M	0.06138351
DGRP287	M	0.06267445
DGRP306	M	0.07226692
DGRP309	M	0.05640753
DGRP310	M	0.04576267
DGRP315	M	0.06524435
DGRP318	M	0.03440476
DGRP324	M	0.06789771
DGRP325	M	0.05280748
DGRP332	M	0.05165271
DGRP336	M	0.06332678
DGRP338	M	0.05188669
DGRP350	M	0.09977552
DGRP352	M	0.02236097
DGRP356	M	0.06916048
DGRP357	M	0.07081967
DGRP358	M	0.05109996
DGRP359	M	0.05310009
DGRP360	M	0.05258383
DGRP362	M	0.07246256
DGRP365	M	0.0340386
DGRP367	M	0.02848885
DGRP370	M	0.0451047
DGRP373	M	0.05460841
DGRP374	M	0.0386793
DGRP375	M	0.05772865
DGRP377	M	0.0504851
DGRP378	M	0.05606274
DGRP379	M	0.06088079
DGRP380	M	0.04245188
DGRP381	M	0.04650588
DGRP383	M	0.05824829
DGRP391	M	0.05066576
DGRP392	M	0.02289055
DGRP393	M	0.05655923
DGRP398	M	0.06266969
DGRP399	M	0.06863026
DGRP426	M	0.07833889
DGRP427	M	0.06912392
DGRP437	M	0.05662188
DGRP440	M	0.07009481
DGRP441	M	0.06458775
DGRP443	M	0.08475514
DGRP461	M	0.03760663
DGRP486	M	0.07378859
DGRP491	M	0.07868125
DGRP492	M	0.04909851
DGRP502	M	0.08995475
DGRP508	M	0.06836018
DGRP509	M	0.05890765
DGRP514	M	0.07528635
DGRP517	M	0.03638193
DGRP535	M	0.04618549
DGRP554	M	0.06251613
DGRP555	M	0.06977551
DGRP563	M	0.06028679
DGRP589	M	0.05908874
DGRP595	M	0.04467807
DGRP639	M	0.05253811
DGRP642	M	0.07769874
DGRP646	M	0.03253403
DGRP703	M	0.05851901
DGRP707	M	0.07989223
DGRP712	M	0.04895837
DGRP714	M	0.02593503
DGRP716	M	0.07102779
DGRP721	M	0.07951765
DGRP730	M	0.05373048
DGRP732	M	0.0652492
DGRP737	M	0.05648177
DGRP738	M	0.06400282
DGRP761	M	0.06924571
DGRP765	M	0.05909747
DGRP774	M	0.05652179
DGRP776	M	0.05841708
DGRP783	M	0.0547522
DGRP786	M	0.04330919
DGRP787	M	0.07038924
DGRP790	M	0.06540095
DGRP796	M	0.07254144
DGRP799	M	0.07150941
DGRP801	M	0.06218618
DGRP802	M	0.06797806
DGRP804	M	0.04663687
DGRP808	M	0.07769373
DGRP810	M	0.07422498
DGRP812	M	0.07065193
DGRP818	M	0.06160154
DGRP820	M	0.08077801
DGRP822	M	0.0399338
DGRP832	M	0.05596122
DGRP837	M	0.05800983
DGRP852	M	0.05939105
DGRP853	M	0.04338429
DGRP855	M	0.02513209
DGRP857	M	0.04619804
DGRP861	M	0.01919928
DGRP879	M	0.02693841
DGRP884	M	0.07008046
DGRP890	M	0.05925672
DGRP892	M	0.07190579
DGRP894	M	0.05763024
DGRP897	M	0.06634425
DGRP907	M	0.06417823
DGRP908	M	0.04672654
DGRP911	M	0.05209751
