DGRP	sex	value
DGRP21	M	0.03786924
DGRP26	M	0.03186359
DGRP28	M	0.03449224
DGRP38	M	0.02627417
DGRP42	M	0.04288503
DGRP45	M	0.01594099
DGRP49	M	0.03373606
DGRP57	M	0.03135233
DGRP59	M	0.06134305
DGRP69	M	0.06104352
DGRP73	M	0.04954459
DGRP75	M	0.03630333
DGRP83	M	0.06421616
DGRP85	M	0.06114156
DGRP88	M	0.0633891
DGRP91	M	0.04668512
DGRP101	M	0.06676075
DGRP109	M	0.07021189
DGRP136	M	0.05530324
DGRP138	M	0.05828421
DGRP142	M	0.05002222
DGRP149	M	0.04164798
DGRP153	M	0.05904206
DGRP158	M	0.06347502
DGRP161	M	0.04593651
DGRP176	M	0.0462058
DGRP177	M	0.05385101
DGRP181	M	0.03486483
DGRP195	M	0.06515223
DGRP208	M	0.03910086
DGRP217	M	0.06443113
DGRP228	M	0.01948758
DGRP229	M	0.0392777
DGRP233	M	0.05138128
DGRP235	M	0.07359102
DGRP237	M	0.04830116
DGRP239	M	0.05658352
DGRP256	M	0.08077713
DGRP272	M	0.05074551
DGRP280	M	0.04965918
DGRP287	M	0.0671746
DGRP306	M	0.07735221
DGRP307	M	0.05012967
DGRP309	M	0.04469654
DGRP310	M	0.07466025
DGRP315	M	0.06763661
DGRP318	M	0.04115734
DGRP324	M	0.06371112
DGRP325	M	0.03334295
DGRP332	M	0.04144565
DGRP336	M	0.05746958
DGRP338	M	0.04426299
DGRP350	M	0.05248611
DGRP352	M	0.00954038
DGRP356	M	0.02979565
DGRP357	M	0.0614491
DGRP358	M	0.05429917
DGRP359	M	0.05223466
DGRP360	M	0.04905343
DGRP362	M	0.05758683
DGRP365	M	0.04960299
DGRP367	M	0.03435853
DGRP370	M	0.03369319
DGRP373	M	0.05627125
DGRP374	M	0.03014255
DGRP375	M	0.05838543
DGRP377	M	0.04153674
DGRP378	M	0.06625469
DGRP379	M	0.06862014
DGRP380	M	0.05693968
DGRP381	M	0.07022566
DGRP383	M	0.02542907
DGRP391	M	0.06549701
DGRP392	M	0.03103304
DGRP393	M	0.05499235
DGRP398	M	0.0760462
DGRP399	M	0.06608481
DGRP426	M	0.05836247
DGRP427	M	0.05803391
DGRP437	M	0.06425914
DGRP440	M	0.06508549
DGRP441	M	0.05965278
DGRP443	M	0.02560849
DGRP461	M	0.04060436
DGRP486	M	0.05925323
DGRP491	M	0.04495864
DGRP492	M	0.03882739
DGRP502	M	0.02771822
DGRP508	M	0.04203693
DGRP509	M	0.05656502
DGRP514	M	0.06757231
DGRP517	M	0.06416948
DGRP535	M	0.03682584
DGRP554	M	0.01632607
DGRP555	M	0.01454811
DGRP563	M	0.02616587
DGRP589	M	0.04085679
DGRP595	M	0.02449836
DGRP639	M	0.01609368
DGRP642	M	0.02550002
DGRP646	M	0.01755463
DGRP703	M	0.02750127
DGRP707	M	0.03046221
DGRP712	M	0.03931659
DGRP714	M	0.02932579
DGRP716	M	0.03085291
DGRP721	M	0.04416648
DGRP727	M	0.02920083
DGRP730	M	0.04457437
DGRP732	M	0.02608918
DGRP737	M	0.04013291
DGRP738	M	0.02030113
DGRP761	M	0.03785488
DGRP765	M	0.04832166
DGRP774	M	0.04122524
DGRP776	M	0.01844475
DGRP783	M	0.0413243
DGRP786	M	0.02673847
DGRP787	M	0.03231115
DGRP790	M	0.04072781
DGRP796	M	0.05458869
DGRP799	M	0.0435519
DGRP801	M	0.0382099
DGRP802	M	0.02378408
DGRP804	M	0.04715723
DGRP808	M	0.04723265
DGRP810	M	0.03977097
DGRP812	M	0.04758648
DGRP818	M	0.05079521
DGRP820	M	0.04050673
DGRP822	M	0.04994428
DGRP832	M	0.05909259
DGRP837	M	0.04780119
DGRP852	M	0.02929048
DGRP853	M	0.04913764
DGRP855	M	0.03818292
DGRP857	M	0.03299031
DGRP861	M	0.06403241
DGRP879	M	0.03261941
DGRP884	M	0.04708844
DGRP890	M	0.05785151
DGRP892	M	0.06094554
DGRP894	M	0.02377205
DGRP897	M	0.04284885
DGRP907	M	0.02837594
DGRP908	M	0.06268235
DGRP911	M	0.04560667
