DGRP	sex	value
DGRP21	M	0.04385084
DGRP26	M	0.03981925
DGRP28	M	0.02408688
DGRP38	M	0.03241143
DGRP42	M	0.02557771
DGRP45	M	0.03759214
DGRP49	M	0.0316569
DGRP57	M	0.03739919
DGRP59	M	0.02743669
DGRP69	M	0.02986212
DGRP73	M	0.04301657
DGRP75	M	0.01932622
DGRP83	M	0.03615143
DGRP85	M	0.04079525
DGRP88	M	0.03715994
DGRP91	M	0.03528326
DGRP93	M	0.04717071
DGRP101	M	0.05030764
DGRP109	M	0.04099748
DGRP129	M	0.03487099
DGRP136	M	0.05800678
DGRP138	M	0.03650106
DGRP142	M	0.0549153
DGRP149	M	0.06769427
DGRP153	M	0.05420004
DGRP158	M	0.05706398
DGRP161	M	0.04182485
DGRP176	M	0.03112066
DGRP177	M	0.03463025
DGRP181	M	0.04190985
DGRP195	M	0.05282922
DGRP208	M	0.04963462
DGRP217	M	0.06081562
DGRP228	M	0.00916666
DGRP229	M	0.01149174
DGRP233	M	0.03060821
DGRP235	M	0.0286738
DGRP237	M	0.01954478
DGRP239	M	0.03019321
DGRP256	M	0.03353453
DGRP272	M	0.0629414
DGRP280	M	0.05457947
DGRP287	M	0.06670586
DGRP306	M	0.05666453
DGRP309	M	0.03790421
DGRP310	M	0.02759032
DGRP315	M	0.0358434
DGRP318	M	0.03227104
DGRP324	M	0.04662046
DGRP325	M	0.02037673
DGRP332	M	0.03127311
DGRP336	M	0.02538389
DGRP338	M	0.02355397
DGRP350	M	0.02637233
DGRP352	M	0.01050738
DGRP356	M	0.01279587
DGRP357	M	0.01527431
DGRP358	M	0.01472849
DGRP359	M	0.02406459
DGRP360	M	0.01155184
DGRP362	M	0.01761838
DGRP365	M	0.01742437
DGRP367	M	0.01491653
DGRP370	M	0.02838134
DGRP373	M	0.0318379
DGRP374	M	0.0433335
DGRP375	M	0.05280448
DGRP377	M	0.05228689
DGRP378	M	0.04707627
DGRP379	M	0.04240316
DGRP380	M	0.03872352
DGRP381	M	0.01843545
DGRP383	M	0.03117484
DGRP386	M	0.01046703
DGRP391	M	0.01839977
DGRP392	M	0.02840305
DGRP393	M	0.04661483
DGRP398	M	0.03769427
DGRP399	M	0.02695602
DGRP426	M	0.03516438
DGRP427	M	0.04454936
DGRP437	M	0.03966906
DGRP440	M	0.04726392
DGRP441	M	0.04297636
DGRP443	M	0.04214967
DGRP461	M	0.04784065
DGRP486	M	0.0564336
DGRP491	M	0.02664282
DGRP492	M	0.01675649
DGRP502	M	0.0346113
DGRP508	M	0.0107672
DGRP509	M	0.04569421
DGRP514	M	0.02638846
DGRP517	M	0.05038792
DGRP535	M	0.0364226
DGRP554	M	0.03098431
DGRP555	M	0.00856533
DGRP563	M	0.01896757
DGRP589	M	0.02901143
DGRP595	M	0.01843302
DGRP639	M	0.02629117
DGRP642	M	0.02764787
DGRP646	M	0.02845138
DGRP703	M	0.02756671
DGRP707	M	0.02409262
DGRP712	M	0.02814836
DGRP714	M	0.01375506
DGRP716	M	0.03403082
DGRP721	M	0.03706681
DGRP730	M	0.02745768
DGRP732	M	0.01170679
DGRP737	M	0.04216303
DGRP738	M	0.0236099
DGRP761	M	0.04848436
DGRP765	M	0.06200279
DGRP774	M	0.03986177
DGRP776	M	0.0343424
DGRP783	M	0.03506386
DGRP786	M	0.02109615
DGRP787	M	0.02162397
DGRP790	M	0.01247843
DGRP796	M	0.04773623
DGRP799	M	0.03611761
DGRP801	M	0.03695092
DGRP802	M	0.02503475
DGRP804	M	0.06400174
DGRP805	M	0.05187879
DGRP808	M	0.01430256
DGRP810	M	0.01369645
DGRP812	M	0.03401665
DGRP818	M	0.04586562
DGRP820	M	0.04023573
DGRP822	M	0.05036135
DGRP832	M	0.03998083
DGRP837	M	0.0191051
DGRP852	M	0.01179829
DGRP853	M	0.04744042
DGRP855	M	0.0434415
DGRP857	M	0.03747231
DGRP861	M	0.02980279
DGRP879	M	0.02777728
DGRP882	M	0.02871285
DGRP884	M	0.03877102
DGRP890	M	0.04920149
DGRP892	M	0.02936749
DGRP894	M	0.01162799
DGRP897	M	0.02241741
DGRP907	M	0.03637237
DGRP908	M	0.05107201
DGRP911	M	0.03706605
