DGRP	sex	value
DGRP21	M	0.04086004
DGRP26	M	0.03584142
DGRP28	M	0.02928956
DGRP38	M	0.0293428
DGRP42	M	0.03423137
DGRP45	M	0.02676657
DGRP49	M	0.03269648
DGRP57	M	0.03437576
DGRP59	M	0.04438987
DGRP69	M	0.04545282
DGRP73	M	0.04628058
DGRP75	M	0.02781477
DGRP83	M	0.05018379
DGRP85	M	0.05096841
DGRP88	M	0.05027452
DGRP91	M	0.04098419
DGRP101	M	0.0585342
DGRP109	M	0.05560469
DGRP136	M	0.05665501
DGRP138	M	0.04739264
DGRP142	M	0.05246876
DGRP149	M	0.05467112
DGRP153	M	0.05662105
DGRP158	M	0.0602695
DGRP161	M	0.04388068
DGRP176	M	0.03866323
DGRP177	M	0.04424063
DGRP181	M	0.03838734
DGRP195	M	0.05899073
DGRP208	M	0.04436774
DGRP217	M	0.06262337
DGRP228	M	0.01432712
DGRP229	M	0.02538472
DGRP233	M	0.04099474
DGRP235	M	0.05113241
DGRP237	M	0.03392297
DGRP239	M	0.04338836
DGRP256	M	0.05715583
DGRP272	M	0.05684346
DGRP280	M	0.05211933
DGRP287	M	0.06694023
DGRP306	M	0.06700837
DGRP309	M	0.04130037
DGRP310	M	0.05112529
DGRP315	M	0.05174001
DGRP318	M	0.03671419
DGRP324	M	0.05516579
DGRP325	M	0.02685984
DGRP332	M	0.03635938
DGRP336	M	0.04142674
DGRP338	M	0.03390848
DGRP350	M	0.03942922
DGRP352	M	0.01002388
DGRP356	M	0.02129576
DGRP357	M	0.0383617
DGRP358	M	0.03451383
DGRP359	M	0.03814963
DGRP360	M	0.03030263
DGRP362	M	0.03760261
DGRP365	M	0.03351368
DGRP367	M	0.02463753
DGRP370	M	0.03103726
DGRP373	M	0.04405457
DGRP374	M	0.03673803
DGRP375	M	0.05559496
DGRP377	M	0.04691182
DGRP378	M	0.05666548
DGRP379	M	0.05551165
DGRP380	M	0.0478316
DGRP381	M	0.04433055
DGRP383	M	0.02830196
DGRP391	M	0.04194839
DGRP392	M	0.02971804
DGRP393	M	0.05080359
DGRP398	M	0.05687023
DGRP399	M	0.04652042
DGRP426	M	0.04676342
DGRP427	M	0.05129163
DGRP437	M	0.0519641
DGRP440	M	0.0561747
DGRP441	M	0.05131457
DGRP443	M	0.03387908
DGRP461	M	0.04422251
DGRP486	M	0.05784341
DGRP491	M	0.03580073
DGRP492	M	0.02779194
DGRP502	M	0.03116476
DGRP508	M	0.02640207
DGRP509	M	0.05112961
DGRP514	M	0.04698039
DGRP517	M	0.0572787
DGRP535	M	0.03662422
DGRP554	M	0.02365519
DGRP555	M	0.01155672
DGRP563	M	0.02256672
DGRP589	M	0.03493411
DGRP595	M	0.02146569
DGRP639	M	0.02119243
DGRP642	M	0.02657395
DGRP646	M	0.023003
DGRP703	M	0.02753399
DGRP707	M	0.02727741
DGRP712	M	0.03373248
DGRP714	M	0.02154042
DGRP716	M	0.03244187
DGRP721	M	0.04061664
DGRP730	M	0.03601602
DGRP732	M	0.01889798
DGRP737	M	0.04114797
DGRP738	M	0.02195552
DGRP761	M	0.04316962
DGRP765	M	0.05516222
DGRP774	M	0.04054351
DGRP776	M	0.02639358
DGRP783	M	0.03819408
DGRP786	M	0.02391731
DGRP787	M	0.02696756
DGRP790	M	0.02660312
DGRP796	M	0.05116246
DGRP799	M	0.03983476
DGRP801	M	0.03758041
DGRP802	M	0.02440942
DGRP804	M	0.05557949
DGRP808	M	0.0307676
DGRP810	M	0.02673371
DGRP812	M	0.04080156
DGRP818	M	0.04833041
DGRP820	M	0.04037123
DGRP822	M	0.05015282
DGRP832	M	0.04953671
DGRP837	M	0.03345315
DGRP852	M	0.02054439
DGRP853	M	0.04828903
DGRP855	M	0.04081221
DGRP857	M	0.03523131
DGRP861	M	0.0469176
DGRP879	M	0.03019834
DGRP884	M	0.04292973
DGRP890	M	0.0535265
DGRP892	M	0.04515652
DGRP894	M	0.01770002
DGRP897	M	0.03263313
DGRP907	M	0.03237416
DGRP908	M	0.05687718
DGRP911	M	0.04133636
