DGRP	sex	value
DGRP21	M	0.01470208
DGRP26	M	0.0374794
DGRP28	M	0.0568415
DGRP38	M	0.07438268
DGRP42	M	0.00574657
DGRP45	M	0.04294441
DGRP49	M	0.04059179
DGRP57	M	0.08487121
DGRP59	M	0.06058264
DGRP69	M	0.05870506
DGRP73	M	0.04730462
DGRP75	M	0.09036271
DGRP83	M	0.08145688
DGRP85	M	0.06717281
DGRP88	M	0.02244677
DGRP91	M	0.07949704
DGRP101	M	0.05140985
DGRP109	M	0.06226712
DGRP136	M	0.07453982
DGRP138	M	0.07846764
DGRP142	M	0.04850836
DGRP149	M	0.04205509
DGRP153	M	0.09126761
DGRP158	M	0.07348191
DGRP161	M	0.03523713
DGRP176	M	0.04196032
DGRP177	M	0.01979579
DGRP181	M	0.08543194
DGRP195	M	0.07092176
DGRP208	M	0.08850508
DGRP217	M	0.05632805
DGRP228	M	0.03101148
DGRP229	M	0.06536058
DGRP233	M	0.13150311
DGRP235	M	0.05067318
DGRP237	M	0.07605204
DGRP239	M	0.07465851
DGRP256	M	0.08163157
DGRP272	M	0.07901157
DGRP280	M	0.06754568
DGRP287	M	0.12217591
DGRP306	M	0.09360156
DGRP307	M	0.08861324
DGRP309	M	0.0454546
DGRP310	M	0.06753471
DGRP315	M	0.07706039
DGRP318	M	0.04564853
DGRP324	M	0.05552255
DGRP325	M	0.04639203
DGRP332	M	0.05968311
DGRP336	M	0.07868802
DGRP338	M	0.0843237
DGRP350	M	0.08945391
DGRP352	M	0.02688558
DGRP356	M	0.06387284
DGRP357	M	0.11004482
DGRP358	M	0.10520137
DGRP359	M	0.07454128
DGRP360	M	0.03995603
DGRP362	M	0.09092766
DGRP365	M	0.01743827
DGRP367	M	0.00878548
DGRP370	M	0.02984634
DGRP373	M	0.11272362
DGRP374	M	0.10829272
DGRP375	M	0.07288729
DGRP377	M	0.0604461
DGRP378	M	0.09718179
DGRP379	M	0.02186781
DGRP380	M	0.01259023
DGRP381	M	0.06391253
DGRP383	M	0.09554567
DGRP391	M	0.06497124
DGRP392	M	0.01158592
DGRP393	M	0.06891134
DGRP398	M	0.0636912
DGRP399	M	0.09682233
DGRP426	M	0.08544515
DGRP427	M	0.0401004
DGRP437	M	0.04736147
DGRP440	M	0.07714784
DGRP441	M	0.08256973
DGRP443	M	0.10659553
DGRP461	M	0.0109539
DGRP486	M	0.03003836
DGRP491	M	0.08087781
DGRP492	M	0.04040689
DGRP502	M	0.01361888
DGRP508	M	0.04060848
DGRP509	M	0.05997601
DGRP514	M	0.11334203
DGRP517	M	0.07031349
DGRP535	M	0.05791414
DGRP554	M	0.09076706
DGRP555	M	0.12774827
DGRP563	M	0.11001228
DGRP589	M	0.0652756
DGRP595	M	0.05380226
DGRP639	M	0.0708835
DGRP642	M	0.11022963
DGRP646	M	0.03958705
DGRP703	M	0.02926691
DGRP707	M	0.09857481
DGRP712	M	0.04035998
DGRP714	M	0.01252362
DGRP716	M	0.0161431
DGRP721	M	0.1145474
DGRP727	M	0.04070321
DGRP730	M	0.08338826
DGRP732	M	0.04965362
DGRP737	M	0.07684151
DGRP738	M	0.06104748
DGRP761	M	0.04506686
DGRP765	M	0.02277981
DGRP774	M	0.06374622
DGRP776	M	0.0429371
DGRP783	M	0.07700039
DGRP786	M	0.0486865
DGRP787	M	0.0510356
DGRP790	M	0.08655338
DGRP796	M	0.08325166
DGRP799	M	0.04372175
DGRP801	M	0.08804407
DGRP802	M	0.10061506
DGRP804	M	0.05889933
DGRP808	M	0.07857537
DGRP810	M	0.10666727
DGRP812	M	0.10407669
DGRP818	M	0.01675374
DGRP820	M	0.06223966
DGRP822	M	0.06595457
DGRP832	M	0.09501208
DGRP837	M	0.08179047
DGRP852	M	0.06296801
DGRP853	M	0.09195887
DGRP855	M	0.02476918
DGRP857	M	0.04731944
DGRP861	M	0.03420458
DGRP879	M	0.03914657
DGRP884	M	0.06205123
DGRP890	M	0.0112698
DGRP892	M	0.05237492
DGRP894	M	0.07995222
DGRP897	M	0.02712555
DGRP907	M	0.02076192
DGRP908	M	0.09124365
DGRP911	M	0.09454702
