DGRP	sex	value
DGRP21	M	0.00308143
DGRP26	M	0.04691784
DGRP28	M	0.03067656
DGRP38	M	0.07707872
DGRP42	M	0.02031298
DGRP45	M	0.05655664
DGRP49	M	0.08027596
DGRP57	M	0.10909863
DGRP59	M	0.06141998
DGRP69	M	0.09649819
DGRP73	M	0.05203294
DGRP75	M	0.05651826
DGRP83	M	0.06323041
DGRP85	M	0.0822972
DGRP88	M	0.03796448
DGRP91	M	0.04322247
DGRP93	M	0.05596299
DGRP101	M	0.01918507
DGRP109	M	0.04592543
DGRP129	M	0.03407686
DGRP136	M	0.11301457
DGRP138	M	0.03150997
DGRP142	M	0.04824644
DGRP149	M	0.04570207
DGRP153	M	0.0589672
DGRP158	M	0.10035026
DGRP161	M	0.02618784
DGRP176	M	0.09151746
DGRP177	M	0.08366981
DGRP181	M	0.04064903
DGRP195	M	0.05998498
DGRP208	M	0.06268388
DGRP217	M	0.07939941
DGRP228	M	0.02435166
DGRP229	M	0.05567137
DGRP233	M	0.101443
DGRP235	M	0.06325042
DGRP237	M	0.1130502
DGRP239	M	0.05190559
DGRP256	M	0.0436175
DGRP272	M	0.10318968
DGRP280	M	0.07043728
DGRP287	M	0.1002991
DGRP306	M	0.09532564
DGRP309	M	0.05459622
DGRP310	M	0.04161268
DGRP315	M	0.10267941
DGRP318	M	0.0762292
DGRP324	M	0.07039451
DGRP325	M	0.00305402
DGRP332	M	0.07206108
DGRP336	M	0.10389224
DGRP338	M	0.10554949
DGRP350	M	0.07271922
DGRP352	M	0.03962097
DGRP356	M	0.04287523
DGRP357	M	0.09174593
DGRP358	M	0.07901004
DGRP359	M	0.09786047
DGRP360	M	0.05991737
DGRP362	M	0.09257758
DGRP365	M	0.02417013
DGRP367	M	0.06570822
DGRP370	M	0.04867801
DGRP373	M	0.08600769
DGRP374	M	0.07547365
DGRP375	M	0.06379284
DGRP377	M	0.0728146
DGRP378	M	0.06274734
DGRP379	M	0.01370349
DGRP380	M	0.04916597
DGRP381	M	0.06815458
DGRP383	M	0.05097014
DGRP386	M	0.06126468
DGRP391	M	0.00912567
DGRP392	M	0.02268512
DGRP393	M	0.09282753
DGRP398	M	0.0630708
DGRP399	M	0.08276381
DGRP426	M	0.09286765
DGRP427	M	0.08373059
DGRP437	M	0.06704429
DGRP440	M	0.08798982
DGRP441	M	0.100381
DGRP443	M	0.07184015
DGRP461	M	0.05097972
DGRP486	M	0.08302514
DGRP491	M	0.09994293
DGRP492	M	0.0891428
DGRP502	M	0.06589371
DGRP508	M	0.09167872
DGRP509	M	0.05025013
DGRP514	M	0.11043724
DGRP517	M	0.0926012
DGRP535	M	0.07426497
DGRP554	M	0.08385589
DGRP555	M	0.0848189
DGRP563	M	0.0845478
DGRP589	M	0.07101255
DGRP595	M	0.08731551
DGRP639	M	0.07156737
DGRP642	M	0.11201945
DGRP646	M	0.0450385
DGRP703	M	0.07595971
DGRP707	M	0.0686403
DGRP712	M	0.07325599
DGRP714	M	0.02214712
DGRP716	M	0.04126531
DGRP721	M	0.09091216
DGRP730	M	0.06097164
DGRP732	M	0.04785469
DGRP737	M	0.09256234
DGRP738	M	0.07838534
DGRP761	M	0.074041
DGRP765	M	0.00818504
DGRP774	M	0.07270931
DGRP776	M	0.03279641
DGRP783	M	0.09343933
DGRP786	M	0.04928999
DGRP787	M	0.08004257
DGRP790	M	0.10736942
DGRP796	M	0.09125046
DGRP799	M	0.08016669
DGRP801	M	0.08218815
DGRP802	M	0.08738945
DGRP804	M	0.07049327
DGRP805	M	0.08696896
DGRP808	M	0.06274807
DGRP810	M	0.07146884
DGRP812	M	0.06766093
DGRP818	M	0.02328934
DGRP820	M	0.04611408
DGRP822	M	0.06785198
DGRP832	M	0.07292292
DGRP837	M	0.10623932
DGRP852	M	0.0688801
DGRP853	M	0.08584654
DGRP855	M	0.05487077
DGRP857	M	0.07722352
DGRP861	M	0.05923306
DGRP879	M	0.02954237
DGRP882	M	0.06803151
DGRP884	M	0.0458534
DGRP890	M	0.03567906
DGRP892	M	0.0147528
DGRP894	M	0.04222683
DGRP897	M	0.04674995
DGRP907	M	0.05071143
DGRP908	M	0.11367884
DGRP911	M	0.09441065
