DGRP	sex	value
DGRP21	M	0.00889176
DGRP26	M	0.04219862
DGRP28	M	0.04375903
DGRP38	M	0.0757307
DGRP42	M	0.01302977
DGRP45	M	0.04975053
DGRP49	M	0.06043388
DGRP57	M	0.09698492
DGRP59	M	0.06100131
DGRP69	M	0.07760163
DGRP73	M	0.04966878
DGRP75	M	0.07344049
DGRP83	M	0.07234365
DGRP85	M	0.074735
DGRP88	M	0.03020562
DGRP91	M	0.06135976
DGRP101	M	0.03529746
DGRP109	M	0.05409627
DGRP136	M	0.0937772
DGRP138	M	0.0549888
DGRP142	M	0.0483774
DGRP149	M	0.04387858
DGRP153	M	0.0751174
DGRP158	M	0.08691608
DGRP161	M	0.03071248
DGRP176	M	0.06673889
DGRP177	M	0.0517328
DGRP181	M	0.06304049
DGRP195	M	0.06545337
DGRP208	M	0.07559448
DGRP217	M	0.06786373
DGRP228	M	0.02768157
DGRP229	M	0.06051597
DGRP233	M	0.11647306
DGRP235	M	0.0569618
DGRP237	M	0.09455112
DGRP239	M	0.06328205
DGRP256	M	0.06262454
DGRP272	M	0.09110063
DGRP280	M	0.06899148
DGRP287	M	0.1112375
DGRP306	M	0.0944636
DGRP309	M	0.05002541
DGRP310	M	0.0545737
DGRP315	M	0.0898699
DGRP318	M	0.06093886
DGRP324	M	0.06295853
DGRP325	M	0.02472303
DGRP332	M	0.06587209
DGRP336	M	0.09129013
DGRP338	M	0.0949366
DGRP350	M	0.08108656
DGRP352	M	0.03325327
DGRP356	M	0.05337403
DGRP357	M	0.10089537
DGRP358	M	0.0921057
DGRP359	M	0.08620087
DGRP360	M	0.0499367
DGRP362	M	0.09175262
DGRP365	M	0.0208042
DGRP367	M	0.03724685
DGRP370	M	0.03926218
DGRP373	M	0.09936565
DGRP374	M	0.09188319
DGRP375	M	0.06834006
DGRP377	M	0.06663035
DGRP378	M	0.07996457
DGRP379	M	0.01778565
DGRP380	M	0.0308781
DGRP381	M	0.06603355
DGRP383	M	0.07325791
DGRP391	M	0.03704846
DGRP392	M	0.01713552
DGRP393	M	0.08086943
DGRP398	M	0.063381
DGRP399	M	0.08979307
DGRP426	M	0.0891564
DGRP427	M	0.0619155
DGRP437	M	0.05720288
DGRP440	M	0.08256883
DGRP441	M	0.09147536
DGRP443	M	0.08921784
DGRP461	M	0.03096681
DGRP486	M	0.05653175
DGRP491	M	0.09041037
DGRP492	M	0.06477484
DGRP502	M	0.03975629
DGRP508	M	0.0661436
DGRP509	M	0.05511307
DGRP514	M	0.11188963
DGRP517	M	0.08145735
DGRP535	M	0.06608956
DGRP554	M	0.08731147
DGRP555	M	0.10628359
DGRP563	M	0.09728004
DGRP589	M	0.06814408
DGRP595	M	0.07055889
DGRP639	M	0.07122543
DGRP642	M	0.11112454
DGRP646	M	0.04231277
DGRP703	M	0.05261331
DGRP707	M	0.08360756
DGRP712	M	0.05680798
DGRP714	M	0.01733537
DGRP716	M	0.0287042
DGRP721	M	0.10272978
DGRP730	M	0.07217995
DGRP732	M	0.04875415
DGRP737	M	0.08470192
DGRP738	M	0.06971641
DGRP761	M	0.05955393
DGRP765	M	0.01548243
DGRP774	M	0.06822776
DGRP776	M	0.03786675
DGRP783	M	0.08521986
DGRP786	M	0.04898824
DGRP787	M	0.06553909
DGRP790	M	0.0969614
DGRP796	M	0.08725106
DGRP799	M	0.06194422
DGRP801	M	0.08511611
DGRP802	M	0.09400225
DGRP804	M	0.0646963
DGRP808	M	0.07066172
DGRP810	M	0.08906806
DGRP812	M	0.08586881
DGRP818	M	0.02002154
DGRP820	M	0.05417687
DGRP822	M	0.06690327
DGRP832	M	0.0839675
DGRP837	M	0.09401489
DGRP852	M	0.06592405
DGRP853	M	0.08890271
DGRP855	M	0.03981997
DGRP857	M	0.06227148
DGRP861	M	0.04671882
DGRP879	M	0.03434447
DGRP884	M	0.05395231
DGRP890	M	0.02347443
DGRP892	M	0.03356386
DGRP894	M	0.06108953
DGRP897	M	0.03693775
DGRP907	M	0.03573668
DGRP908	M	0.10246125
DGRP911	M	0.09447884
