DGRP	sex	value
DGRP21	M	620.982051
DGRP26	M	664.215384
DGRP28	M	728.648718
DGRP38	M	697.548718
DGRP42	M	586.815384
DGRP45	M	576.515384
DGRP49	M	625.174644
DGRP57	M	575.448718
DGRP59	M	653.582051
DGRP69	M	700.615384
DGRP73	M	644.182051
DGRP75	M	703.182051
DGRP83	M	731.548718
DGRP85	M	787.915384
DGRP88	M	705.015384
DGRP91	M	762.815384
DGRP101	M	722.248718
DGRP109	M	740.882051
DGRP136	M	709.682051
DGRP138	M	755.248718
DGRP142	M	732.448718
DGRP149	M	691.015384
DGRP153	M	792.455551
DGRP158	M	674.17787
DGRP161	M	658.348718
DGRP176	M	547.915384
DGRP177	M	646.485005
DGRP181	M	565.815384
DGRP195	M	680.715384
DGRP208	M	635.048718
DGRP217	M	669.815384
DGRP228	M	657.988884
DGRP229	M	644.948718
DGRP233	M	648.715384
DGRP235	M	753.555375
DGRP237	M	666.182051
DGRP239	M	793.382051
DGRP256	M	732.415384
DGRP272	M	663.815384
DGRP280	M	663.248718
DGRP287	M	736.915384
DGRP306	M	768.782051
DGRP307	M	855.106139
DGRP309	M	708.815384
DGRP310	M	698.415384
DGRP315	M	773.415384
DGRP318	M	565.459556
DGRP324	M	634.356139
DGRP325	M	622.415384
DGRP332	M	661.282051
DGRP336	M	701.348718
DGRP338	M	735.015384
DGRP350	M	685.192889
DGRP352	M	601.248718
DGRP356	M	731.315384
DGRP357	M	753.911204
DGRP358	M	639.682051
DGRP359	M	708.215384
DGRP360	M	683.048718
DGRP362	M	673.815384
DGRP365	M	554.015384
DGRP367	M	594.282051
DGRP370	M	607.148718
DGRP373	M	773.515384
DGRP374	M	649.515384
DGRP375	M	775.615384
DGRP377	M	698.789458
DGRP378	M	676.182051
DGRP379	M	763.488884
DGRP380	M	597.582051
DGRP381	M	727.815384
DGRP383	M	744.855551
DGRP391	M	763.982051
DGRP392	M	651.448718
DGRP393	M	774.315384
DGRP398	M	770.533874
DGRP399	M	757.582051
DGRP426	M	820.533903
DGRP427	M	824.315384
DGRP437	M	670.248718
DGRP440	M	717.855551
DGRP441	M	754.015384
DGRP443	M	748.482051
DGRP461	M	645.415384
DGRP486	M	740.848718
DGRP491	M	769.655375
DGRP492	M	675.082051
DGRP502	M	572.682051
DGRP508	M	628.548718
DGRP509	M	759.55137
DGRP514	M	690.248718
DGRP517	M	667.948718
DGRP535	M	707.048718
DGRP554	M	620.882051
DGRP555	M	659.715384
DGRP563	M	691.148718
DGRP589	M	754.482051
DGRP595	M	656.248718
DGRP639	M	745.448718
DGRP642	M	749.715384
DGRP646	M	633.882051
DGRP703	M	631.682051
DGRP707	M	711.282051
DGRP712	M	610.048718
DGRP714	M	659.715384
DGRP716	M	657.215384
DGRP721	M	714.315384
DGRP727	M	680.015384
DGRP730	M	796.911204
DGRP732	M	545.782051
DGRP737	M	682.315384
DGRP738	M	745.148718
DGRP761	M	662.848718
DGRP765	M	672.182051
DGRP774	M	705.315384
DGRP776	M	597.448718
DGRP783	M	642.848718
DGRP786	M	647.082051
DGRP787	M	712.182051
DGRP790	M	663.515384
DGRP796	M	664.082051
DGRP799	M	670.315384
DGRP801	M	659.948718
DGRP802	M	788.448718
DGRP804	M	695.448718
DGRP808	M	658.548718
DGRP810	M	716.182051
DGRP812	M	842.815384
DGRP818	M	712.748718
DGRP820	M	649.782051
DGRP822	M	694.782051
DGRP832	M	804.411204
DGRP837	M	717.215384
DGRP852	M	587.082051
DGRP853	M	728.215384
DGRP855	M	644.303796
DGRP857	M	713.282051
DGRP861	M	669.915384
DGRP879	M	592.582051
DGRP884	M	682.348718
DGRP890	M	713.982051
DGRP892	M	754.782051
DGRP894	M	717.982051
DGRP897	M	653.500132
DGRP907	M	659.040384
DGRP908	M	704.648718
DGRP911	M	735.515384
