DGRP	sex	value
DGRP21	M	662.491055
DGRP26	M	752.724388
DGRP28	M	738.324388
DGRP38	M	728.957721
DGRP42	M	636.891055
DGRP45	M	613.224388
DGRP49	M	664.524388
DGRP57	M	593.424388
DGRP59	M	713.224388
DGRP69	M	751.391055
DGRP73	M	650.957721
DGRP75	M	684.891055
DGRP83	M	769.124388
DGRP85	M	815.256545
DGRP88	M	739.357721
DGRP91	M	798.057721
DGRP93	M	861.591055
DGRP101	M	719.491055
DGRP109	M	739.791811
DGRP129	M	715.346642
DGRP136	M	803.791055
DGRP138	M	758.925144
DGRP142	M	773.357721
DGRP149	M	753.291055
DGRP153	M	831.091055
DGRP158	M	721.224388
DGRP161	M	651.724388
DGRP176	M	657.191055
DGRP177	M	686.624388
DGRP181	M	644.491055
DGRP195	M	771.724388
DGRP208	M	706.124388
DGRP217	M	710.691055
DGRP228	M	656.891055
DGRP229	M	683.191055
DGRP233	M	749.924388
DGRP235	M	721.824388
DGRP237	M	723.391055
DGRP239	M	769.024388
DGRP256	M	741.137916
DGRP272	M	801.779975
DGRP280	M	805.491055
DGRP287	M	831.337159
DGRP306	M	845.124388
DGRP309	M	722.024388
DGRP310	M	731.557721
DGRP315	M	791.091055
DGRP318	M	644.724388
DGRP324	M	714.991055
DGRP325	M	693.557721
DGRP332	M	670.324388
DGRP336	M	863.957721
DGRP338	M	777.124388
DGRP350	M	724.491055
DGRP352	M	692.291055
DGRP356	M	722.057721
DGRP357	M	814.024388
DGRP358	M	669.657721
DGRP359	M	771.524388
DGRP360	M	685.224388
DGRP362	M	802.524388
DGRP365	M	658.991055
DGRP367	M	673.524388
DGRP370	M	736.057721
DGRP373	M	788.357721
DGRP374	M	795.424388
DGRP375	M	841.757721
DGRP377	M	781.157721
DGRP378	M	801.691055
DGRP379	M	812.757721
DGRP380	M	733.691055
DGRP381	M	744.657721
DGRP383	M	793.491055
DGRP386	M	693.591055
DGRP391	M	697.557721
DGRP392	M	700.491055
DGRP393	M	917.291055
DGRP398	M	797.124196
DGRP399	M	731.324388
DGRP426	M	911.224388
DGRP427	M	913.991055
DGRP437	M	774.257721
DGRP440	M	820.691055
DGRP441	M	782.457721
DGRP443	M	866.091055
DGRP461	M	692.257721
DGRP486	M	763.591055
DGRP491	M	805.388522
DGRP492	M	677.791055
DGRP502	M	696.857721
DGRP508	M	664.091055
DGRP509	M	643.857721
DGRP514	M	715.491055
DGRP517	M	779.324388
DGRP535	M	805.857721
DGRP554	M	703.957721
DGRP555	M	742.291055
DGRP563	M	719.391055
DGRP589	M	728.924388
DGRP595	M	801.124388
DGRP639	M	751.924388
DGRP642	M	811.791055
DGRP646	M	721.491055
DGRP703	M	739.524388
DGRP707	M	717.957721
DGRP712	M	695.391055
DGRP714	M	693.724388
DGRP716	M	745.158477
DGRP721	M	801.058477
DGRP730	M	867.491055
DGRP732	M	681.924388
DGRP737	M	725.624388
DGRP738	M	828.991055
DGRP761	M	739.170493
DGRP765	M	756.957721
DGRP774	M	647.224388
DGRP776	M	680.257721
DGRP783	M	737.057721
DGRP786	M	658.757721
DGRP787	M	737.457721
DGRP790	M	636.091055
DGRP796	M	735.424388
DGRP799	M	723.724388
DGRP801	M	743.391055
DGRP802	M	838.357721
DGRP804	M	745.391055
DGRP805	M	860.391055
DGRP808	M	704.591055
DGRP810	M	764.757721
DGRP812	M	855.579944
DGRP818	M	731.503826
DGRP820	M	660.224388
DGRP822	M	747.457721
DGRP832	M	834.324388
DGRP837	M	685.857721
DGRP852	M	696.457721
DGRP853	M	802.857721
DGRP855	M	757.491055
DGRP857	M	851.224388
DGRP861	M	620.257721
DGRP879	M	686.257721
DGRP882	M	751.591055
DGRP884	M	732.391055
DGRP890	M	782.824388
DGRP892	M	829.124388
DGRP894	M	720.924388
DGRP897	M	696.157721
DGRP907	M	775.191055
DGRP908	M	640.757721
DGRP911	M	808.491055
