DGRP	sex	value
DGRP21	M	641.736553
DGRP26	M	708.469886
DGRP28	M	733.486553
DGRP38	M	713.253219
DGRP42	M	611.853219
DGRP45	M	594.869886
DGRP49	M	644.849516
DGRP57	M	584.436553
DGRP59	M	683.403219
DGRP69	M	726.003219
DGRP73	M	647.569886
DGRP75	M	694.036553
DGRP83	M	750.336553
DGRP85	M	801.585964
DGRP88	M	722.186553
DGRP91	M	780.436553
DGRP101	M	720.869886
DGRP109	M	740.336931
DGRP136	M	756.736553
DGRP138	M	757.086931
DGRP142	M	752.903219
DGRP149	M	722.153219
DGRP153	M	811.773303
DGRP158	M	697.701129
DGRP161	M	655.036553
DGRP176	M	602.553219
DGRP177	M	666.554696
DGRP181	M	605.153219
DGRP195	M	726.219886
DGRP208	M	670.586553
DGRP217	M	690.253219
DGRP228	M	657.439969
DGRP229	M	664.069886
DGRP233	M	699.319886
DGRP235	M	737.689882
DGRP237	M	694.786553
DGRP239	M	781.203219
DGRP256	M	736.77665
DGRP272	M	732.79768
DGRP280	M	734.369886
DGRP287	M	784.126272
DGRP306	M	806.953219
DGRP309	M	715.419886
DGRP310	M	714.986553
DGRP315	M	782.253219
DGRP318	M	605.091972
DGRP324	M	674.673597
DGRP325	M	657.986553
DGRP332	M	665.803219
DGRP336	M	782.653219
DGRP338	M	756.069886
DGRP350	M	704.841972
DGRP352	M	646.769886
DGRP356	M	726.686553
DGRP357	M	783.967796
DGRP358	M	654.669886
DGRP359	M	739.869886
DGRP360	M	684.136553
DGRP362	M	738.169886
DGRP365	M	606.503219
DGRP367	M	633.903219
DGRP370	M	671.603219
DGRP373	M	780.936553
DGRP374	M	722.469886
DGRP375	M	808.686553
DGRP377	M	739.97359
DGRP378	M	738.936553
DGRP379	M	788.123303
DGRP380	M	665.636553
DGRP381	M	736.236553
DGRP383	M	769.173303
DGRP391	M	730.769886
DGRP392	M	675.969886
DGRP393	M	845.803219
DGRP398	M	783.829035
DGRP399	M	744.453219
DGRP426	M	865.879145
DGRP427	M	869.153219
DGRP437	M	722.253219
DGRP440	M	769.273303
DGRP441	M	768.236553
DGRP443	M	807.286553
DGRP461	M	668.836553
DGRP486	M	752.219886
DGRP491	M	787.521948
DGRP492	M	676.436553
DGRP502	M	634.769886
DGRP508	M	646.319886
DGRP509	M	701.704546
DGRP514	M	702.869886
DGRP517	M	723.636553
DGRP535	M	756.453219
DGRP554	M	662.419886
DGRP555	M	701.003219
DGRP563	M	705.269886
DGRP589	M	741.703219
DGRP595	M	728.686553
DGRP639	M	748.686553
DGRP642	M	780.753219
DGRP646	M	677.686553
DGRP703	M	685.603219
DGRP707	M	714.619886
DGRP712	M	652.719886
DGRP714	M	676.719886
DGRP716	M	701.186931
DGRP721	M	757.686931
DGRP730	M	832.201129
DGRP732	M	613.853219
DGRP737	M	703.969886
DGRP738	M	787.069886
DGRP761	M	701.009605
DGRP765	M	714.569886
DGRP774	M	676.269886
DGRP776	M	638.853219
DGRP783	M	689.953219
DGRP786	M	652.919886
DGRP787	M	724.819886
DGRP790	M	649.803219
DGRP796	M	699.753219
DGRP799	M	697.019886
DGRP801	M	701.669886
DGRP802	M	813.403219
DGRP804	M	720.419886
DGRP808	M	681.569886
DGRP810	M	740.469886
DGRP812	M	849.197664
DGRP818	M	722.126272
DGRP820	M	655.003219
DGRP822	M	721.119886
DGRP832	M	819.367796
DGRP837	M	701.536553
DGRP852	M	641.769886
DGRP853	M	765.536553
DGRP855	M	700.897425
DGRP857	M	782.253219
DGRP861	M	645.086553
DGRP879	M	639.419886
DGRP884	M	707.369886
DGRP890	M	748.403219
DGRP892	M	791.953219
DGRP894	M	719.453219
DGRP897	M	674.828926
DGRP907	M	717.115719
DGRP908	M	672.703219
DGRP911	M	772.003219
