DGRP	sex	value
DGRP21	M	0.03428922
DGRP26	M	0.0944857
DGRP28	M	0.04065032
DGRP38	M	0.06538321
DGRP42	M	0.08180356
DGRP45	M	0.07137042
DGRP49	M	0.04387241
DGRP57	M	0.07572732
DGRP59	M	0.03311921
DGRP69	M	0.05045207
DGRP73	M	0.09427219
DGRP75	M	0.06351658
DGRP83	M	0.04966645
DGRP85	M	0.08029195
DGRP88	M	0.08159293
DGRP91	M	0.07274408
DGRP101	M	0.07643217
DGRP109	M	0.05928075
DGRP136	M	0.03202452
DGRP138	M	0.08411312
DGRP142	M	0.0661346
DGRP149	M	0.07399664
DGRP153	M	0.07981794
DGRP158	M	0.04234682
DGRP161	M	0.08243474
DGRP176	M	0.05911863
DGRP177	M	0.07309053
DGRP181	M	0.05701393
DGRP195	M	0.0622936
DGRP208	M	0.04534481
DGRP217	M	0.07142461
DGRP228	M	0.05284922
DGRP229	M	0.04517201
DGRP233	M	0.03936457
DGRP235	M	0.05246592
DGRP237	M	0.07671776
DGRP239	M	0.07615018
DGRP256	M	0.07520645
DGRP272	M	0.07353268
DGRP280	M	0.04891857
DGRP287	M	0.04008032
DGRP306	M	0.07588924
DGRP307	M	0.0186522
DGRP309	M	0.04892507
DGRP310	M	0.06311731
DGRP315	M	0.04407888
DGRP318	M	0.03432853
DGRP324	M	0.03359872
DGRP325	M	0.08864464
DGRP332	M	0.03242665
DGRP336	M	0.06092488
DGRP338	M	0.05977286
DGRP350	M	0.07108661
DGRP352	M	0.03078267
DGRP356	M	0.06264541
DGRP357	M	0.02187284
DGRP358	M	0.055796
DGRP359	M	0.08149493
DGRP360	M	0.04697881
DGRP362	M	0.06429107
DGRP365	M	0.06029591
DGRP367	M	0.06973044
DGRP370	M	0.05332904
DGRP373	M	0.03229864
DGRP374	M	0.07023512
DGRP375	M	0.05722663
DGRP377	M	0.09036985
DGRP378	M	0.0607124
DGRP379	M	0.06230684
DGRP380	M	0.05785881
DGRP381	M	0.06073373
DGRP383	M	0.08028725
DGRP391	M	0.08231779
DGRP392	M	0.04908313
DGRP393	M	0.06703904
DGRP398	M	0.06253305
DGRP399	M	0.02272242
DGRP426	M	0.03127669
DGRP427	M	0.06041647
DGRP437	M	0.03329878
DGRP440	M	0.03777685
DGRP441	M	0.03435065
DGRP443	M	0.03104916
DGRP461	M	0.0447638
DGRP486	M	0.05450383
DGRP491	M	0.06449266
DGRP492	M	0.03263526
DGRP502	M	0.01555519
DGRP508	M	0.02703766
DGRP509	M	0.05243191
DGRP514	M	0.03454909
DGRP517	M	0.05224387
DGRP535	M	0.07494151
DGRP554	M	0.07151232
DGRP555	M	0.05229323
DGRP563	M	0.05510236
DGRP589	M	0.08060511
DGRP595	M	0.05367678
DGRP639	M	0.02417491
DGRP642	M	0.04514459
DGRP646	M	0.05145527
DGRP703	M	0.0659112
DGRP707	M	0.07043197
DGRP712	M	0.04386265
DGRP714	M	0.07959281
DGRP716	M	0.02858203
DGRP721	M	0.05747759
DGRP727	M	0.04253486
DGRP730	M	0.08309013
DGRP732	M	0.01458251
DGRP737	M	0.02341741
DGRP738	M	0.05349979
DGRP761	M	0.02533905
DGRP765	M	0.04172094
DGRP774	M	0.04250913
DGRP776	M	0.04309496
DGRP783	M	0.05228411
DGRP786	M	0.06000988
DGRP787	M	0.04081483
DGRP790	M	0.01653636
DGRP796	M	0.06519074
DGRP799	M	0.06911281
DGRP801	M	0.0557686
DGRP802	M	0.03046606
DGRP804	M	0.03784507
DGRP808	M	0.03608144
DGRP810	M	0.04584187
DGRP812	M	0.05789483
DGRP818	M	0.04546214
DGRP820	M	0.04811745
DGRP822	M	0.04168085
DGRP832	M	0.02982271
DGRP837	M	0.04310585
DGRP852	M	0.01203885
DGRP853	M	0.02801431
DGRP855	M	0.01803637
DGRP857	M	0.02332143
DGRP861	M	0.00934114
DGRP879	M	0.02170127
DGRP884	M	0.06111104
DGRP890	M	0.05740342
DGRP892	M	0.0376358
DGRP894	M	0.02839349
DGRP897	M	0.03614368
DGRP907	M	0.02355084
DGRP908	M	0.03087553
DGRP911	M	0.04330828
