DGRP	sex	value
DGRP21	M	0.0645669
DGRP26	M	0.09370436
DGRP28	M	0.07980824
DGRP38	M	0.0637678
DGRP42	M	0.06587282
DGRP45	M	0.05301799
DGRP49	M	0.0713691
DGRP57	M	0.06864392
DGRP59	M	0.04763845
DGRP69	M	0.05986483
DGRP73	M	0.06726566
DGRP75	M	0.07396406
DGRP83	M	0.07046232
DGRP85	M	0.07159357
DGRP88	M	0.0604836
DGRP91	M	0.06612176
DGRP93	M	0.08204734
DGRP101	M	0.06102879
DGRP109	M	0.06831506
DGRP129	M	0.0827586
DGRP136	M	0.05289318
DGRP138	M	0.07048973
DGRP142	M	0.09560918
DGRP149	M	0.08246114
DGRP153	M	0.08493234
DGRP158	M	0.06502663
DGRP161	M	0.06897652
DGRP176	M	0.07107905
DGRP177	M	0.07499073
DGRP181	M	0.04053854
DGRP195	M	0.06878055
DGRP208	M	0.03852985
DGRP217	M	0.069689
DGRP228	M	0.06159965
DGRP229	M	0.07534154
DGRP233	M	0.0821785
DGRP235	M	0.05339414
DGRP237	M	0.09473436
DGRP239	M	0.05986349
DGRP256	M	0.05750544
DGRP272	M	0.06369706
DGRP280	M	0.05549685
DGRP287	M	0.0540087
DGRP306	M	0.04862836
DGRP309	M	0.10104185
DGRP310	M	0.07153214
DGRP315	M	0.08017361
DGRP318	M	0.04487071
DGRP324	M	0.08313009
DGRP325	M	0.06615826
DGRP332	M	0.0698114
DGRP336	M	0.0550554
DGRP338	M	0.08411827
DGRP350	M	0.05950138
DGRP352	M	0.06725405
DGRP356	M	0.05940491
DGRP357	M	0.09068674
DGRP358	M	0.06500715
DGRP359	M	0.08175086
DGRP360	M	0.06616365
DGRP362	M	0.04070447
DGRP365	M	0.06600451
DGRP367	M	0.07546583
DGRP370	M	0.08772126
DGRP373	M	0.08493743
DGRP374	M	0.0912173
DGRP375	M	0.08104459
DGRP377	M	0.0734714
DGRP378	M	0.06273063
DGRP379	M	0.0575439
DGRP380	M	0.08842998
DGRP381	M	0.05304687
DGRP383	M	0.08180053
DGRP386	M	0.05707789
DGRP391	M	0.06317014
DGRP392	M	0.09577987
DGRP393	M	0.05382584
DGRP398	M	0.03678017
DGRP399	M	0.04785951
DGRP426	M	0.07680513
DGRP427	M	0.08133643
DGRP437	M	0.07653125
DGRP440	M	0.0745203
DGRP441	M	0.06147497
DGRP443	M	0.07526215
DGRP461	M	0.07657894
DGRP486	M	0.08347539
DGRP491	M	0.08096805
DGRP492	M	0.08311835
DGRP502	M	0.06415508
DGRP508	M	0.04029327
DGRP509	M	0.05129674
DGRP514	M	0.03289638
DGRP517	M	0.06596494
DGRP535	M	0.05646592
DGRP554	M	0.02331539
DGRP555	M	0.0536891
DGRP563	M	0.06710136
DGRP589	M	0.07543405
DGRP595	M	0.0405059
DGRP639	M	0.04842377
DGRP642	M	0.05883336
DGRP646	M	0.02470229
DGRP703	M	0.06597008
DGRP707	M	0.07866847
DGRP712	M	0.01831251
DGRP714	M	0.07642118
DGRP716	M	0.07383965
DGRP721	M	0.06213479
DGRP730	M	0.05728378
DGRP732	M	0.04902004
DGRP737	M	0.0425686
DGRP738	M	0.045776
DGRP761	M	0.08625789
DGRP765	M	0.06612673
DGRP774	M	0.03356153
DGRP776	M	0.04529039
DGRP783	M	0.03360649
DGRP786	M	0.01532765
DGRP787	M	0.05504763
DGRP790	M	0.03402572
DGRP796	M	0.06133587
DGRP799	M	0.04402901
DGRP801	M	0.04387962
DGRP802	M	0.04248264
DGRP804	M	0.02512923
DGRP805	M	0.06108638
DGRP808	M	0.02874549
DGRP810	M	0.03548909
DGRP812	M	0.05238949
DGRP818	M	0.07560686
DGRP820	M	0.06322775
DGRP822	M	0.0725039
DGRP832	M	0.05427774
DGRP837	M	0.04202889
DGRP852	M	0.03429484
DGRP853	M	0.05770252
DGRP855	M	0.04597303
DGRP857	M	0.05640437
DGRP861	M	0.05087467
DGRP879	M	0.02622544
DGRP882	M	0.02156978
DGRP884	M	0.05324969
DGRP890	M	0.02832912
DGRP892	M	0.06891129
DGRP894	M	0.03278899
DGRP897	M	0.02456416
DGRP907	M	0.06319084
DGRP908	M	0.04498896
DGRP911	M	0.04496599
