DGRP	sex	value
DGRP21	M	0.04942806
DGRP26	M	0.09409503
DGRP28	M	0.06022928
DGRP38	M	0.0645755
DGRP42	M	0.07383819
DGRP45	M	0.06219421
DGRP49	M	0.05762076
DGRP57	M	0.07218562
DGRP59	M	0.04037883
DGRP69	M	0.05515845
DGRP73	M	0.08076893
DGRP75	M	0.06874032
DGRP83	M	0.06006438
DGRP85	M	0.07594276
DGRP88	M	0.07103826
DGRP91	M	0.06943292
DGRP101	M	0.06873048
DGRP109	M	0.06379791
DGRP136	M	0.04245885
DGRP138	M	0.07730142
DGRP142	M	0.08087189
DGRP149	M	0.07822889
DGRP153	M	0.08237514
DGRP158	M	0.05368673
DGRP161	M	0.07570563
DGRP176	M	0.06509884
DGRP177	M	0.07404063
DGRP181	M	0.04877624
DGRP195	M	0.06553707
DGRP208	M	0.04193733
DGRP217	M	0.07055681
DGRP228	M	0.05722444
DGRP229	M	0.06025677
DGRP233	M	0.06077153
DGRP235	M	0.05293003
DGRP237	M	0.08572606
DGRP239	M	0.06800684
DGRP256	M	0.06635594
DGRP272	M	0.06861487
DGRP280	M	0.05220771
DGRP287	M	0.04704451
DGRP306	M	0.0622588
DGRP309	M	0.07498346
DGRP310	M	0.06732472
DGRP315	M	0.06212625
DGRP318	M	0.03959962
DGRP324	M	0.05836441
DGRP325	M	0.07740145
DGRP332	M	0.05111902
DGRP336	M	0.05799014
DGRP338	M	0.07194556
DGRP350	M	0.06529399
DGRP352	M	0.04901836
DGRP356	M	0.06102516
DGRP357	M	0.05627979
DGRP358	M	0.06040158
DGRP359	M	0.08162289
DGRP360	M	0.05657123
DGRP362	M	0.05249777
DGRP365	M	0.06315021
DGRP367	M	0.07259813
DGRP370	M	0.07052515
DGRP373	M	0.05861804
DGRP374	M	0.08072621
DGRP375	M	0.06913561
DGRP377	M	0.08192062
DGRP378	M	0.06172152
DGRP379	M	0.05992537
DGRP380	M	0.0731444
DGRP381	M	0.0568903
DGRP383	M	0.08104389
DGRP391	M	0.07274396
DGRP392	M	0.0724315
DGRP393	M	0.06043244
DGRP398	M	0.04965661
DGRP399	M	0.03529096
DGRP426	M	0.05404091
DGRP427	M	0.07087645
DGRP437	M	0.05491502
DGRP440	M	0.05614857
DGRP441	M	0.04791281
DGRP443	M	0.05315566
DGRP461	M	0.06067137
DGRP486	M	0.06898961
DGRP491	M	0.07273035
DGRP492	M	0.05787681
DGRP502	M	0.03985513
DGRP508	M	0.03366547
DGRP509	M	0.05186432
DGRP514	M	0.03372273
DGRP517	M	0.05910441
DGRP535	M	0.06570372
DGRP554	M	0.04741386
DGRP555	M	0.05299117
DGRP563	M	0.06110186
DGRP589	M	0.07801958
DGRP595	M	0.04709134
DGRP639	M	0.03629934
DGRP642	M	0.05198898
DGRP646	M	0.03807878
DGRP703	M	0.06594064
DGRP707	M	0.07455022
DGRP712	M	0.03108758
DGRP714	M	0.078007
DGRP716	M	0.05121084
DGRP721	M	0.05980619
DGRP730	M	0.07018695
DGRP732	M	0.03180128
DGRP737	M	0.03299301
DGRP738	M	0.0496379
DGRP761	M	0.05579847
DGRP765	M	0.05392383
DGRP774	M	0.03803533
DGRP776	M	0.04419267
DGRP783	M	0.0429453
DGRP786	M	0.03766877
DGRP787	M	0.04793123
DGRP790	M	0.02528104
DGRP796	M	0.0632633
DGRP799	M	0.05657091
DGRP801	M	0.04982411
DGRP802	M	0.03647435
DGRP804	M	0.03148715
DGRP808	M	0.03241346
DGRP810	M	0.04066548
DGRP812	M	0.05514216
DGRP818	M	0.0605345
DGRP820	M	0.0556726
DGRP822	M	0.05709238
DGRP832	M	0.04205023
DGRP837	M	0.04256737
DGRP852	M	0.02316685
DGRP853	M	0.04285842
DGRP855	M	0.0320047
DGRP857	M	0.0398629
DGRP861	M	0.0301079
DGRP879	M	0.02396336
DGRP884	M	0.05718037
DGRP890	M	0.04286627
DGRP892	M	0.05327355
DGRP894	M	0.03059124
DGRP897	M	0.03035392
DGRP907	M	0.04337084
DGRP908	M	0.03793225
DGRP911	M	0.04413713
