DGRP	sex	value
DGRP21	M	0.03202328
DGRP26	M	0.10193826
DGRP28	M	0.07849211
DGRP38	M	0.0688831
DGRP42	M	0.08322093
DGRP45	M	0.05810552
DGRP49	M	0.05635787
DGRP57	M	0.09100538
DGRP59	M	0.06262833
DGRP69	M	0.06380393
DGRP73	M	0.04027828
DGRP75	M	0.06494636
DGRP83	M	0.05842954
DGRP85	M	0.06381735
DGRP88	M	0.04790235
DGRP91	M	0.08617601
DGRP101	M	0.09634221
DGRP109	M	0.08474386
DGRP136	M	0.09071645
DGRP138	M	0.08532062
DGRP142	M	0.05913847
DGRP149	M	0.06279235
DGRP153	M	0.03479693
DGRP158	M	0.07234019
DGRP161	M	0.08856103
DGRP176	M	0.07253151
DGRP177	M	0.05226191
DGRP181	M	0.10341803
DGRP195	M	0.06354672
DGRP208	M	0.04921177
DGRP217	M	0.10138448
DGRP228	M	0.08148984
DGRP229	M	0.03433744
DGRP233	M	0.09177537
DGRP235	M	0.08050678
DGRP237	M	0.07337543
DGRP239	M	0.0639569
DGRP256	M	0.09586652
DGRP272	M	0.07679482
DGRP280	M	0.093529
DGRP287	M	0.07722282
DGRP306	M	0.06645453
DGRP307	M	0.09035606
DGRP309	M	0.07255876
DGRP310	M	0.08222628
DGRP315	M	0.06285702
DGRP318	M	0.02029451
DGRP324	M	0.03248453
DGRP325	M	0.07142148
DGRP332	M	0.06257222
DGRP336	M	0.05093733
DGRP338	M	0.02479463
DGRP350	M	0.05436005
DGRP352	M	0.10790951
DGRP356	M	0.0766826
DGRP357	M	0.08612806
DGRP358	M	0.08244281
DGRP359	M	0.04743352
DGRP360	M	0.09596694
DGRP362	M	0.10542849
DGRP365	M	0.09746045
DGRP367	M	0.0542635
DGRP370	M	0.11102296
DGRP373	M	0.07398815
DGRP374	M	0.04127215
DGRP375	M	0.04798458
DGRP377	M	0.07413135
DGRP378	M	0.05240503
DGRP379	M	0.0316869
DGRP380	M	0.0505151
DGRP381	M	0.08597898
DGRP383	M	0.07808647
DGRP391	M	0.08331251
DGRP392	M	0.07877995
DGRP393	M	0.06501315
DGRP398	M	0.07480679
DGRP399	M	0.0451517
DGRP426	M	0.07204599
DGRP427	M	0.05882856
DGRP437	M	0.05665524
DGRP440	M	0.05892204
DGRP441	M	0.06097662
DGRP443	M	0.0320251
DGRP461	M	0.0524184
DGRP486	M	0.08707063
DGRP491	M	0.07695606
DGRP492	M	0.0672206
DGRP502	M	0.06963088
DGRP508	M	0.05588762
DGRP509	M	0.06740126
DGRP514	M	0.07604685
DGRP517	M	0.06275463
DGRP535	M	0.06766937
DGRP554	M	0.12329866
DGRP555	M	0.0541545
DGRP563	M	0.07047629
DGRP589	M	0.06873627
DGRP595	M	0.02676967
DGRP639	M	0.05755071
DGRP642	M	0.06380754
DGRP646	M	0.06673575
DGRP703	M	0.08614526
DGRP707	M	0.07510021
DGRP712	M	0.06886481
DGRP714	M	0.05058611
DGRP716	M	0.0877933
DGRP721	M	0.07853477
DGRP727	M	0.06209755
DGRP730	M	0.06029183
DGRP732	M	0.07959789
DGRP737	M	0.09007082
DGRP738	M	0.03814984
DGRP761	M	0.05271919
DGRP765	M	0.0449324
DGRP774	M	0.0912867
DGRP776	M	0.09208719
DGRP783	M	0.08889977
DGRP786	M	0.03480028
DGRP787	M	0.07847541
DGRP790	M	0.07242888
DGRP796	M	0.08688486
DGRP799	M	0.07823479
DGRP801	M	0.07459112
DGRP802	M	0.06128339
DGRP804	M	0.04369408
DGRP808	M	0.07414471
DGRP810	M	0.08348236
DGRP812	M	0.05645174
DGRP818	M	0.05953279
DGRP820	M	0.09054823
DGRP822	M	0.05006138
DGRP832	M	0.0331536
DGRP837	M	0.09253778
DGRP852	M	0.10057581
DGRP853	M	0.06312145
DGRP855	M	0.02454639
DGRP857	M	0.02955707
DGRP861	M	0.05036218
DGRP879	M	0.08995266
DGRP884	M	0.06691874
DGRP890	M	0.07207445
DGRP892	M	0.03506655
DGRP894	M	0.06049754
DGRP897	M	0.08546399
DGRP907	M	0.06419809
DGRP908	M	0.08783167
DGRP911	M	0.06732781
