DGRP	sex	value
DGRP21	M	0.09043536
DGRP26	M	0.07858671
DGRP28	M	0.04114397
DGRP38	M	0.00834695
DGRP42	M	0.08298482
DGRP45	M	0.10878026
DGRP49	M	0.10387481
DGRP57	M	0.13473078
DGRP59	M	0.05451849
DGRP69	M	0.0842036
DGRP73	M	0.03298652
DGRP75	M	0.10116473
DGRP83	M	0.00901476
DGRP85	M	0.09973823
DGRP88	M	0.01476377
DGRP91	M	0.03297397
DGRP93	M	0.06984464
DGRP101	M	0.11321601
DGRP109	M	0.01590233
DGRP129	M	0.07041265
DGRP136	M	0.04818428
DGRP138	M	0.03296661
DGRP142	M	0.07718201
DGRP149	M	0.05458696
DGRP153	M	0.0267321
DGRP158	M	0.03172048
DGRP161	M	0.07112202
DGRP176	M	0.02441072
DGRP177	M	0.07620051
DGRP181	M	0.06242466
DGRP195	M	0.03630052
DGRP208	M	0.07434655
DGRP217	M	0.07094019
DGRP228	M	0.09356034
DGRP229	M	0.0699377
DGRP233	M	0.052146
DGRP235	M	0.04963017
DGRP237	M	0.09678201
DGRP239	M	0.07231487
DGRP256	M	0.05563454
DGRP272	M	0.08464132
DGRP280	M	0.04345125
DGRP287	M	0.05369756
DGRP306	M	0.00411054
DGRP309	M	0.04230899
DGRP310	M	0.08426381
DGRP315	M	0.0628541
DGRP318	M	0.06177631
DGRP324	M	0.06371691
DGRP325	M	0.02768553
DGRP332	M	0.05634785
DGRP336	M	0.04327447
DGRP338	M	0.08114074
DGRP350	M	0.07616557
DGRP352	M	0.08732627
DGRP356	M	0.11807468
DGRP357	M	0.04318707
DGRP358	M	0.11308355
DGRP359	M	0.09706171
DGRP360	M	0.13051762
DGRP362	M	0.00811695
DGRP365	M	0.08669752
DGRP367	M	0.05944001
DGRP370	M	0.07094484
DGRP373	M	0.05737678
DGRP374	M	0.06302942
DGRP375	M	0.03793079
DGRP377	M	0.07668099
DGRP378	M	0.03449274
DGRP379	M	0.05653857
DGRP380	M	0.06666114
DGRP381	M	0.07703841
DGRP383	M	0.06213336
DGRP386	M	0.13091288
DGRP391	M	0.07438802
DGRP392	M	0.08202673
DGRP393	M	0.02979815
DGRP398	M	0.07345087
DGRP399	M	0.02745965
DGRP426	M	0.06036852
DGRP427	M	0.05482836
DGRP437	M	0.03345727
DGRP440	M	0.02742211
DGRP441	M	0.10700814
DGRP443	M	0.02271733
DGRP461	M	0.07149499
DGRP486	M	0.0723671
DGRP491	M	0.11491574
DGRP492	M	0.11342196
DGRP502	M	0.09361724
DGRP508	M	0.06758204
DGRP509	M	0.13973157
DGRP514	M	0.11087988
DGRP517	M	0.0804979
DGRP535	M	0.04986349
DGRP554	M	0.092625
DGRP555	M	0.08364239
DGRP563	M	0.08138013
DGRP589	M	0.03977265
DGRP595	M	0.08146616
DGRP639	M	0.08069339
DGRP642	M	0.04111721
DGRP646	M	0.03331898
DGRP703	M	0.04406701
DGRP707	M	0.08278619
DGRP712	M	0.09723782
DGRP714	M	0.07557751
DGRP716	M	0.09865018
DGRP721	M	0.07155801
DGRP730	M	0.00276645
DGRP732	M	0.06683271
DGRP737	M	0.07926877
DGRP738	M	0.0722837
DGRP761	M	0.11009403
DGRP765	M	0.01541321
DGRP774	M	0.02340795
DGRP776	M	0.09718422
DGRP783	M	0.03896778
DGRP786	M	0.11707062
DGRP787	M	0.0942269
DGRP790	M	0.09830655
DGRP796	M	0.01971245
DGRP799	M	0.07880808
DGRP801	M	0.06912657
DGRP802	M	0.04423918
DGRP804	M	0.07360393
DGRP805	M	0.07217308
DGRP808	M	0.08596643
DGRP810	M	0.07307047
DGRP812	M	0.06050653
DGRP818	M	0.10694684
DGRP820	M	0.0500091
DGRP822	M	0.02850223
DGRP832	M	0.03696064
DGRP837	M	0.06809679
DGRP852	M	0.09993952
DGRP853	M	0.03130003
DGRP855	M	0.05669498
DGRP857	M	0.03748543
DGRP861	M	0.09116034
DGRP879	M	0.03656299
DGRP882	M	0.03581571
DGRP884	M	0.05756324
DGRP890	M	0.05557958
DGRP892	M	0.01209772
DGRP894	M	0.06802728
DGRP897	M	0.09115095
DGRP907	M	0.07492976
DGRP908	M	0.08937502
DGRP911	M	0.04525876
