DGRP	sex	value
DGRP21	M	0.06122932
DGRP26	M	0.09026248
DGRP28	M	0.05981804
DGRP38	M	0.03861502
DGRP42	M	0.08310288
DGRP45	M	0.08344289
DGRP49	M	0.08011634
DGRP57	M	0.11286808
DGRP59	M	0.05857341
DGRP69	M	0.07400376
DGRP73	M	0.0366324
DGRP75	M	0.08305555
DGRP83	M	0.03372215
DGRP85	M	0.08177779
DGRP88	M	0.03133306
DGRP91	M	0.05957499
DGRP101	M	0.10477911
DGRP109	M	0.0503231
DGRP136	M	0.06945037
DGRP138	M	0.05914362
DGRP142	M	0.06816024
DGRP149	M	0.05868965
DGRP153	M	0.03076451
DGRP158	M	0.05203033
DGRP161	M	0.07984152
DGRP176	M	0.04847112
DGRP177	M	0.06423121
DGRP181	M	0.08292135
DGRP195	M	0.04992362
DGRP208	M	0.06177916
DGRP217	M	0.08616234
DGRP228	M	0.08752509
DGRP229	M	0.05213757
DGRP233	M	0.07196069
DGRP235	M	0.06506847
DGRP237	M	0.08507872
DGRP239	M	0.06813588
DGRP256	M	0.07575053
DGRP272	M	0.08071807
DGRP280	M	0.06849013
DGRP287	M	0.06546019
DGRP306	M	0.03528254
DGRP309	M	0.05743387
DGRP310	M	0.08324505
DGRP315	M	0.06285556
DGRP318	M	0.04103541
DGRP324	M	0.04810072
DGRP325	M	0.0495535
DGRP332	M	0.05946004
DGRP336	M	0.0471059
DGRP338	M	0.05296768
DGRP350	M	0.06526281
DGRP352	M	0.09761789
DGRP356	M	0.09737864
DGRP357	M	0.06465756
DGRP358	M	0.09776318
DGRP359	M	0.07224762
DGRP360	M	0.11324228
DGRP362	M	0.05677272
DGRP365	M	0.09207899
DGRP367	M	0.05685175
DGRP370	M	0.0909839
DGRP373	M	0.06568247
DGRP374	M	0.05215078
DGRP375	M	0.04295769
DGRP377	M	0.07540617
DGRP378	M	0.04344889
DGRP379	M	0.04411273
DGRP380	M	0.05858812
DGRP381	M	0.0815087
DGRP383	M	0.07010991
DGRP391	M	0.07885026
DGRP392	M	0.08040334
DGRP393	M	0.04740565
DGRP398	M	0.07412883
DGRP399	M	0.03630568
DGRP426	M	0.06620726
DGRP427	M	0.05682846
DGRP437	M	0.04505625
DGRP440	M	0.04317208
DGRP441	M	0.08399238
DGRP443	M	0.02737121
DGRP461	M	0.06195669
DGRP486	M	0.07971886
DGRP491	M	0.0959359
DGRP492	M	0.09032128
DGRP502	M	0.08162406
DGRP508	M	0.06173483
DGRP509	M	0.10356642
DGRP514	M	0.09346336
DGRP517	M	0.07162627
DGRP535	M	0.05876643
DGRP554	M	0.10796183
DGRP555	M	0.06889845
DGRP563	M	0.07592821
DGRP589	M	0.05425446
DGRP595	M	0.05411791
DGRP639	M	0.06912205
DGRP642	M	0.05246238
DGRP646	M	0.05002737
DGRP703	M	0.06510613
DGRP707	M	0.0789432
DGRP712	M	0.08305132
DGRP714	M	0.06308181
DGRP716	M	0.09322174
DGRP721	M	0.07504639
DGRP730	M	0.03152914
DGRP732	M	0.0732153
DGRP737	M	0.08466979
DGRP738	M	0.05521677
DGRP761	M	0.08140661
DGRP765	M	0.0301728
DGRP774	M	0.05734732
DGRP776	M	0.0946357
DGRP783	M	0.06393378
DGRP786	M	0.07593545
DGRP787	M	0.08635116
DGRP790	M	0.08536771
DGRP796	M	0.05329865
DGRP799	M	0.07852143
DGRP801	M	0.07185885
DGRP802	M	0.05276129
DGRP804	M	0.05864901
DGRP808	M	0.08005557
DGRP810	M	0.07827642
DGRP812	M	0.05847914
DGRP818	M	0.08323981
DGRP820	M	0.07027867
DGRP822	M	0.03928181
DGRP832	M	0.03505712
DGRP837	M	0.08031728
DGRP852	M	0.10025767
DGRP853	M	0.04721074
DGRP855	M	0.04062068
DGRP857	M	0.03352125
DGRP861	M	0.07076126
DGRP879	M	0.06325782
DGRP884	M	0.06224099
DGRP890	M	0.06382701
DGRP892	M	0.02358213
DGRP894	M	0.06426241
DGRP897	M	0.08830747
DGRP907	M	0.06956393
DGRP908	M	0.08860335
DGRP911	M	0.05629329
