DGRP	sex	value
DGRP_021	F	0.9690074
DGRP_028	F	2.1770387
DGRP_041	F	3.6718929
DGRP_042	F	-0.16482451
DGRP_045	F	1.3427181
DGRP_049	F	0.1866279
DGRP_057	F	0.7378531
DGRP_059	F	1.07769
DGRP_069	F	1.2296622
DGRP_073	F	0.1866279
DGRP_075	F	1.1349774
DGRP_083	F	0.0
DGRP_085	F	-0.0188049
DGRP_091	F	0.0222817
DGRP_093	F	0.6688484
DGRP_101	F	7.0290666
DGRP_105	F	0.8352747
DGRP_109	F	2.4852099
DGRP_129	F	0.249831
DGRP_136	F	0.00908675
DGRP_142	F	3.0177456
DGRP_149	F	-0.03099825
DGRP_153	F	0.3350587
DGRP_158	F	-0.0438812
DGRP_161	F	1.453313
DGRP_176	F	1.5269953
DGRP_181	F	-0.36760123
DGRP_195	F	2.1084437
DGRP_208	F	3.4370366
DGRP_217	F	3.4781944
DGRP_223	F	0.1507139
DGRP_227	F	-0.34268488
DGRP_228	F	8.6374468
DGRP_233	F	0.6146223
DGRP_235	F	-0.7177984
DGRP_237	F	3.2278359
DGRP_239	F	0.1079144
DGRP_256	F	0.1866279
DGRP_280	F	0.4931961
DGRP_287	F	0.4781944
DGRP_303	F	-0.3676295
DGRP_304	F	4.5688208
DGRP_306	F	-0.4599775
DGRP_309	F	1.04993524
DGRP_313	F	-0.048231
DGRP_315	F	-0.2407995
DGRP_318	F	-0.34268488
DGRP_319	F	-0.2051524
DGRP_324	F	0.2293935
DGRP_332	F	-0.25375469
DGRP_335	F	1.6807701
DGRP_336	F	-0.3247124
DGRP_338	F	2.633154
DGRP_350	F	1.65731512
DGRP_356	F	0.0
DGRP_358	F	1.4702674
DGRP_359	F	4.4982842
DGRP_360	F	-1.2769256
DGRP_361	F	7.968876
DGRP_362	F	0.8078936
DGRP_365	F	0.2378023
DGRP_367	F	-0.36760123
DGRP_373	F	-0.03226086
DGRP_374	F	0.75890946
DGRP_375	F	0.3115528
DGRP_377	F	-0.11499181
DGRP_378	F	1.73577064
DGRP_379	F	1.2013409
DGRP_380	F	2.0307004
DGRP_386	F	4.3333333
DGRP_387	F	-0.09007546
DGRP_391	F	12.8608907
DGRP_392	F	-0.1908895
DGRP_426	F	-0.31776853
DGRP_427	F	0.5238053
DGRP_437	F	0.7819994
DGRP_440	F	-0.203922
DGRP_441	F	0.11663096
DGRP_443	F	-0.05845269
DGRP_486	F	0.1507139
DGRP_491	F	-0.06690705
DGRP_492	F	-0.31776853
DGRP_502	F	-0.34268488
DGRP_508	F	0.0
DGRP_509	F	0.0
DGRP_514	F	9.0848544
DGRP_517	F	-0.1749641
DGRP_535	F	0.28361983
DGRP_554	F	-0.39251758
DGRP_555	F	5.5347367
DGRP_556	F	-0.13990816
DGRP_584	F	-0.26621287
DGRP_589	F	-0.13990816
DGRP_639	F	0.0872021
DGRP_642	F	-0.22468562
DGRP_646	F	-0.09007546
DGRP_705	F	0.6146223
DGRP_714	F	1.9921229
DGRP_716	F	-0.30831444
DGRP_721	F	0.0
DGRP_727	F	0.0
DGRP_730	F	0.6146223
DGRP_732	F	3.0482933
DGRP_738	F	-0.24187084
DGRP_748	F	0.51346684
DGRP_750	F	3.07808492
DGRP_761	F	-0.34268488
DGRP_771	F	-0.24129652
DGRP_774	F	2.9450726
DGRP_783	F	-0.11499181
DGRP_786	F	4.871803
DGRP_799	F	-0.7177307
DGRP_801	F	-0.31776853
DGRP_802	F	0.05299531
DGRP_808	F	-0.33022671
DGRP_810	F	0.0
DGRP_818	F	-0.34268488
DGRP_819	F	2.58256607
DGRP_820	F	0.4661915
DGRP_821	F	1.11230194
DGRP_837	F	-0.25809886
DGRP_843	F	0.0
DGRP_852	F	2.1781944
DGRP_853	F	-0.09900803
DGRP_855	F	-0.28339809
DGRP_857	F	-0.34268488
DGRP_861	F	-0.16482451
DGRP_879	F	0.0
DGRP_882	F	-0.31776853
DGRP_884	F	0.0
DGRP_892	F	-0.21638017
DGRP_894	F	-0.11499181
DGRP_907	F	-0.08336904
DGRP_908	F	0.06545348
DGRP_913	F	2.28135421
