Classifier,Fold,TPR,TNR,FPR,FNR
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",1,0.8354430379746836,0.8194444444444444,0.18055555555555555,0.16455696202531644
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",2,0.7974683544303798,0.8055555555555556,0.19444444444444445,0.20253164556962025
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",3,0.8227848101265823,0.7916666666666666,0.20833333333333334,0.17721518987341772
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",4,0.7848101265822784,0.875,0.125,0.21518987341772153
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",5,0.7974683544303798,0.8472222222222222,0.1527777777777778,0.20253164556962025
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",6,0.8987341772151899,0.7638888888888888,0.2361111111111111,0.10126582278481013
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",7,0.8227848101265823,0.7777777777777778,0.2222222222222222,0.17721518987341772
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",8,0.8607594936708861,0.8472222222222222,0.1527777777777778,0.13924050632911392
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",9,0.759493670886076,0.8055555555555556,0.19444444444444445,0.24050632911392406
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",10,0.8860759493670886,0.7361111111111112,0.2638888888888889,0.11392405063291139
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",11,0.7974683544303798,0.8333333333333334,0.16666666666666666,0.20253164556962025
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",12,0.7088607594936709,0.875,0.125,0.2911392405063291
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",13,0.8354430379746836,0.8333333333333334,0.16666666666666666,0.16455696202531644
"('Logistic Regression', LogisticRegression(C=100, class_weight='balanced'))",14,0.7974683544303798,0.9027777777777778,0.09722222222222222,0.20253164556962025
